Time,Height,Avg Wicking Rate,Time_Uniform,Height_Model,Wicking_Rate,Modeled Avg Wicking Rate
0.287104,0.6986899563318777,2.4335779241385618,0.0,0.0,0.0,0.0
0.458798,1.3973799126637554,3.0457410726806904,0.1713091191709844,2.450229931906535,8.477856796229023,14.302974317794193
0.626997,2.096069868995633,3.3430301404881253,0.3426182383419689,3.7281184326846177,6.732934289372202,10.881260877196983
0.792989,2.7947598253275108,3.524336182882122,0.5139273575129534,4.806685918333748,5.935308582450476,9.352850841789634
0.953037,3.4934497816593884,3.66559722409454,0.6852364766839378,5.778476983080403,5.442506848699998,8.432821631218706
1.11962,4.192139737991266,3.7442522802301377,0.8565455958549223,6.6794164466730255,5.09297426352059,7.798086265339171
1.286228,4.890829694323144,3.802459357379208,1.0278547150259068,7.527989608078606,4.824368404778223,7.323982171827528
1.45285,5.5895196506550215,3.847279244694925,1.199163834196891,8.335227079116065,4.606856637743951,6.950865962946895
1.619406,6.288209606986899,3.883034647881322,1.3704729533678757,9.10835737312316,4.424130218040988,6.64614164820968
1.786225,6.986899563318777,3.9115450535731937,1.5417820725388602,9.85243689299546,4.266419727615422,6.390291512970704
1.952633,7.685589519650654,3.936013331563409,1.7130911917098446,10.571177983396336,4.127467186141354,6.170820347774477
2.119238,8.384279475982533,3.95627082752505,1.884400310880829,11.26741026144095,4.003052431726248,5.979308216190117
2.285844,9.08296943231441,3.97357362633426,2.0557094300518135,11.943356126376104,3.890211113392556,5.8098464460879935
2.452446,9.781659388646288,3.988532016055109,2.227018549222798,12.600804487830766,3.786790757203696,5.658149768096135
2.619102,10.480349344978166,4.001504845927408,2.398327668393782,13.24122521746632,3.691184730585821,5.521024250341192
2.785756,11.179039301310045,4.012928376106896,2.5696367875647668,13.86584731952061,3.602165560175324,5.396033940135645
2.952265,11.87772925764192,4.023259855616593,2.7409459067357513,14.475713962295554,3.518776533403315,5.281284073035567
3.118867,12.576419213973798,4.032367912441858,2.912255025906736,15.071722231754409,3.440258934321593,5.175275550279736
3.285462,13.275109170305676,4.040560861853121,3.0835641450777205,15.654652494408548,3.366001848384742,5.076804554041141
3.452071,13.973799126637552,4.047946617157513,3.2548732642487046,16.2251905099359,3.295506703748905,4.9848916356136606
3.618694,14.672489082969433,4.054636585179468,3.426182383419689,16.78394437027279,3.228361694392066,4.898730567145305
3.78548,15.371179039301309,4.060562739547246,3.5974915025906737,17.331457673466844,3.164222986862493,4.817650760532967
3.951945,16.069868995633186,4.06631898865829,3.768800621761658,17.868219908737768,3.1028006817859053,4.741089195741427
4.118549,16.768558951965066,4.071472489938827,3.9401097409326424,18.394674743299426,3.043848170675504,4.668569139636532
4.285141,17.46724890829694,4.076236676528716,4.111418860103627,18.911226708046463,2.987153958214757,4.59968379567384
4.451724,18.16593886462882,4.080652543740094,4.282727979274611,19.41824664571872,2.932535302143487,4.534083588705462
4.618409,18.864628820960696,4.084659635160224,4.454037098445596,19.91607619139521,2.879833211696651,4.4714661668053175
4.78505,19.563318777292576,4.088425152776371,4.62534621761658,20.40503148824645,2.8289084743255533,4.411568459573837
4.951583,20.26200873362445,4.092026475901636,4.796655336787564,20.88540629300043,2.7796384697411396,4.354160311002851
5.119854,20.96069868995633,4.094003205942265,4.967964455958549,21.357474589993274,2.7319145932092965,4.299039330761965
5.28679,21.659388646288207,4.096888404171191,5.1392735751295335,21.821492806228715,2.685640154940193,4.246026697591928
5.453025,22.35807860262009,4.100123986708311,5.3105826943005185,22.27770169998918,2.6407286549050664,4.194963713473156
5.620046,23.05676855895197,4.102594277511601,5.481891813471503,22.726327980437645,2.597102356202698,4.145708954815328
5.786729,23.75545851528384,4.105161744274501,5.653200932642487,23.16758570406212,2.5546910977099033,4.098135902137986
5.952914,24.45414847161572,4.107929069967367,5.824510051813472,23.601677484844068,2.513431299924957,4.052130956061385
6.11991,25.152838427947597,4.110001360795763,5.995819170984456,24.02879554802741,2.4732651278637783,4.007591767328452
6.286194,25.851528384279476,4.112429298917513,6.167128290155441,24.449122651852583,2.434139782452738,3.964425823746947
6.452688,26.55021834061135,4.114598186153019,6.338437409326425,24.862832897248524,2.396006897691347,3.9225492485995304
6.619782,27.24890829694323,4.11628484094238,6.509746528497409,25.270092441985625,2.3588220253744376,3.881885774102254
6.786025,27.947598253275107,4.1184048472080645,6.681055647668394,25.671060132987066,2.322544192688868,3.8423658605427047
