Time,Height,Time_Uniform,Height_Model,Wicking_Rate
308.159781,121.23880597014926,308.05499799557526,120.34371094814334,0.12310692514014646
308.493226,121.23880597014926,308.4019067771018,120.38639558841416,0.1229788111324372
308.826164,121.23880597014926,308.74881555862834,120.4290358518642,0.12285108345502117
309.159331,121.23880597014926,309.0957243401549,120.47163187225809,0.1227237406289256
309.492534,121.23880597014926,309.4426331216814,120.51418378284853,0.12259678118130107
309.825866,121.23880597014926,309.789541903208,120.55669171637828,0.12247020364539518
310.159093,121.23880597014926,310.13645068473454,120.59915580508232,0.12234400656052588
310.494557,121.23880597014926,310.4833594662611,120.64157618068995,0.12221818847205519
310.827769,121.68656716417912,310.8302682477876,120.68395297442694,0.12209274793136302
311.160688,121.68656716417912,311.1771770293142,120.72628631701753,0.12196768349582074
311.493763,121.68656716417912,311.52408581084075,120.76857633868649,0.12184299372876559
311.827417,121.68656716417912,311.87099459236725,120.8108231691613,0.12171867719947449
312.160671,121.68656716417912,312.2179033738938,120.85302693767412,0.1215947324831383
312.493942,121.68656716417912,312.5648121554204,120.8951877729638,0.12147115816083637
312.82709,121.68656716417912,312.91172093694695,120.93730580327806,0.12134795281951075
313.160195,121.68656716417912,313.25862971847346,120.97938115637537,0.1212251150519409
313.493705,121.68656716417912,313.6055385,121.02141395952701,0.12110264345671842
313.826649,121.68656716417912,313.9524472815266,121.0634043395192,0.1209805366382218
314.16003,122.13432835820896,314.2993560630531,121.10535242265487,0.12085879320659132
314.492864,122.13432835820896,314.64626484457966,121.14725833475593,0.12073741177770418
314.826368,122.13432835820896,314.9931736261062,121.18912220116505,0.12061639097314965
315.159494,122.13432835820896,315.34008240763274,121.23094414674767,0.12049572942020431
315.856873,122.13432835820896,315.6869911891593,121.2727242958941,0.12037542575180736
316.190127,122.13432835820896,316.03389997068587,121.31446277252124,0.12025547860653635
316.523701,122.13432835820896,316.38080875221243,121.35615970007487,0.12013588662858246
316.856523,122.13432835820896,316.72771753373894,121.39781520153117,0.12001664846772662
317.189793,122.13432835820896,317.0746263152655,121.4394293993991,0.11989776277931492
317.523017,122.5820895522388,317.42153509679207,121.48100241572197,0.11977922822423487
317.856195,122.5820895522388,317.7684438783186,121.52253437207955,0.11966104346889136
318.189475,122.5820895522388,318.11535265984514,121.56402538958989,0.11954320718518276
318.522722,122.5820895522388,318.4622614413717,121.6054755889113,0.11942571805047723
318.855844,122.5820895522388,318.8091702228983,121.64688509024421,0.11930857474758914
319.189081,122.5820895522388,319.1560790044248,121.68825401333301,0.11919177596475557
319.522246,122.5820895522388,319.50298778595135,121.72958247746797,0.11907532039561272
319.855509,122.5820895522388,319.8498965674779,121.77087060148715,0.11895920673917285
