Time,Height,Wicking Rate,Avg Wicking Rate,Time_Uniform,Filtered Height (Uniform),Filtered Height (Raw),Wicking Rate (Spline),Wicking Rate Filtered (Spline)
0.609206,-1.0,0.0,-1.6414808783892476,0.609206,-1.0,-0.828294692317589,3.320993581779441,1.2402220976819038
0.943529,-0.55,0.0,-0.5829179601262919,0.9556550943820226,-0.55,-0.4006759963183185,0.02271607387149905,1.2284265087882165
1.276346,-0.55,0.0,-0.430917635186697,1.302104188764045,-0.5151314283106859,0.02292717477245358,0.6231280266790272,1.2170410591188743
1.608771,-0.0999999999999999,1.05,-0.062159250757255,1.6485532831460676,-0.04631995257580927,0.44267875835146037,1.547332851766538,1.2062549109569518
1.942266,0.3500000000000001,0.9975,0.1802018878979501,1.99500237752809,0.4212972768224838,0.8588436608850023,1.2977485905962307,1.196374896981314
2.275117,0.8,1.047375,0.3516302678060073,2.3414514719101125,0.8895707052095669,1.2717761457413401,1.365761382197497,1.1876326102292745
2.608379,1.25,1.09974375,0.4792248365747463,2.687900566292135,1.3573764487957318,1.6819071331487552,1.3459744505664133,1.1802324056586027
2.941643,1.7000000000000002,1.1547309375,0.5779083321803496,3.0343496606741573,1.8252405331184973,2.0897306910951743,1.3520502352368262,1.1743358778633017
3.274746,2.15,1.212467484375,0.6565394690153068,3.3807987550561798,2.2930319062491558,2.4957900021098496,1.3494672980230358,1.1700644042998152
3.608404,2.6,1.2730908585937502,0.7205401612458029,3.727247849438202,2.7604894299331417,2.900663091073719,1.3489432213595025,1.1674978868621884
3.941633,3.05,1.3367454015234377,0.7737909643033737,4.073696943820225,3.2285961885444276,3.304948593684364,1.3520886663687932,1.16667552507502
4.274388,3.5,1.353370597424756,0.8188306723675998,4.4201460382022475,3.6968154700836324,3.7092518342594123,1.3510117577541354,1.1675970124345458
4.60765,3.95,1.3479317511408393,0.857269974932992,4.76659513258427,4.164679189679001,4.114171465607404,1.3517746100987706,1.1702245235998228
4.940823,4.4,1.351636704565024,0.8905398958837425,5.113044226966292,4.630953118137916,4.5202869032269035,1.3447066613610554,1.1744853146982726
5.276387,4.8500000000000005,1.3328525721786462,0.9191895893913772,5.459493321348315,5.097248670273697,4.928146761689238,1.3445025230461758,1.1802748914130896
5.609646,5.3,1.3612089156785745,0.944801151445207,5.805942415730337,5.565020302778966,5.338258473355695,1.3513372091069387,1.1874606526837017
5.942954,5.75,1.346862782499858,0.9675323080070954,6.15239151011236,6.032984571352192,5.751079239260649,1.3513603632724889,1.1958859215814823
6.276,6.2,1.3521155242983296,0.9878903760356916,6.498840604494383,6.499772123888233,6.167008429772425,1.347026220934433,1.205374267737856
6.610515,6.65,1.339919093593953,1.0059730595876415,6.845289698876405,6.968225427928848,6.586381519252398,1.3497579766199723,1.2157340241103307
6.942508,7.1,1.365902340070524,1.0226851737153202,7.191738793258428,7.437027102376666,7.009465605097053,1.3560679271699363,1.2267629004286444
7.275282,7.550000000000001,1.3462230843953689,1.0377604606941695,7.53818788764045,7.904393838314005,7.436456527977773,1.3491389187705873,1.2382525974819893
7.609113,8.0,1.3454782789633308,1.0513709022326256,7.884636982022473,8.371990110860095,7.867477577468606,1.3481539033456105,1.249993330064471
7.942417,8.450000000000001,1.3533224571701912,1.0639078759022602,8.231086076404495,8.840596547450087,8.302579736208703,1.3525666066798565,1.2617781718295396
8.274988,8.9,1.354862979404681,1.075530260587689,8.577535170786517,9.30817581533672,8.74174338686361,1.3512261279961604,1.273407142316688
8.608536,9.35,1.3448303512854514,1.0861312539089107,8.92398426516854,9.77602301104388,9.184881379942423,1.34921847003008,1.2846909648092975
8.941738,9.8,1.3530220889157816,1.095983800912082,9.270433359550562,10.243928292774273,9.631843337436342,1.3508921537545833,1.295454433234267
9.274929,10.25,1.350147284343808,1.1051297535539086,9.616882453932584,10.711774131370742,10.082421047627893,1.3505393130581838,1.305539336783394
9.608159,10.7,1.3502720357368443,1.1136368580078662,9.963331548314608,11.179402449779449,10.53635479055369,1.349936543913367,1.3148069020717743
9.941564,11.15,1.3491716725237188,1.1215539124427505,10.30978064269663,11.647369929077612,10.993340421673391,1.3501002807538092,1.3231397241936933
10.274713,11.6,1.3518471037275517,1.1289853059642638,10.656229737078652,12.115332592239815,11.453037033401504,1.351033433177011,1.3304431697375236
10.607845,12.05,1.350527851645063,1.1359517413763118,11.002678831460674,12.58315632119344,11.915075010306902,1.3504545503847112,1.3366462464262447
10.941111,12.5,1.3497970538920847,1.1424799547322022,11.349127925842698,13.051067461586424,12.379064293902703,1.3504145121622944,1.3417019453216172
11.274285,12.95,1.3511373361566958,1.1486315983674351,11.69557702022472,13.518886445969954,12.84460267688143,1.3506426205097481,1.3455870722437038
11.607521,13.4,1.3500606066666665,1.154423929105965,12.042026114606742,13.986686960903766,13.311283954167966,1.3501348211380975,1.348301595008605
11.940824,13.85,1.34998041529142,1.159886453397186,12.388475208988766,14.454594599433834,13.778705768969264,1.350369678322151,1.3498675420942563
12.274001,14.3,1.3511493154838463,1.1650642687742978,12.734924303370788,14.922444866759651,14.246477005740314,1.3506555815064718,1.3503274962515879
12.607217,14.75,1.3501734671878396,1.1699647908019668,13.08137339775281,15.390320213083488,14.71422459825704,1.3503344645934434,1.349742733261219
12.940473,15.2,1.3502308882805611,1.1746093052394606,13.427822492134831,15.858290747888043,15.181599639346281,1.3503724923406664,1.3481910613947246
13.273623,15.650000000000002,1.3511548966255904,1.179030020665797,13.774271586516855,16.325755511960494,15.648282698799875,1.3513441542939193,1.3457644211093365
13.606762,16.1,1.3506815054505377,1.183235217901217,14.120720680898877,16.79366916189365,16.113988277106117,1.3488421711099137,1.3425663070516436
13.94066,16.55,1.34513998770275,1.1871747822556464,14.4671697752809,17.261906744506,16.57846834437307,1.348808187007957,1.338709075567297
14.27319,17.0,1.3588928978838188,1.1910441884400054,14.813618869662923,17.72980647715715,17.04151493570463,1.3588736144709828,1.334311200637177
14.60648,17.45,1.3457553489314753,1.1946752400304523,15.160067964044945,18.197761454573417,17.502961795846236,1.325992527250081,1.3294945395416553
14.939612,17.900000000000002,1.3523795533803131,1.1981569534737584,15.506517058426967,18.46715638478887,17.962685086691614,1.4401117183513463,1.3243816666764732
15.272782,18.35,1.3503200329756648,1.2014837899211814,15.852966152808989,18.640809082353098,18.4206031908158,1.0179762104451993,1.3190933299131455
16.170563,18.8,1.2828040313268816,1.162606397810639,16.199415247191013,18.839004515957953,18.876675662196543,1.019669183860633,1.3137460788440782
16.503435,19.25,1.3469442328932255,1.1664238384312116,16.545864341573033,19.307298233049337,19.330901391375566,1.4402406860391972,1.308450108320417
16.83666,19.7,1.2795970212485643,1.1700657968979595,16.892313435955057,19.77517122757767,19.783316066216273,1.3264625811160675,1.303307354041353
17.16982,20.15,1.3435768723109929,1.1735708353378196,17.23876253033708,20.243128106562782,20.233989020916233,1.357340926347853,1.2984098697573072
17.502954,20.6,1.350807823146631,1.1769441889637602,17.5852116247191,20.71106656362004,20.68301957487201,1.3487033028125863,1.2938385080824801
17.836231,21.05,1.3497099261298011,1.18018206873414,17.931660719101124,21.178904885620177,21.130532969273354,1.3509527795851881,1.2896619191549579
18.169371,21.5,1.3514392691866424,1.1833100881698104,18.278109813483148,21.646834106728928,21.57667601288811,1.350520476629396,1.2859358736103699
18.502621,21.95,1.3497808804360176,1.1863184140236132,18.62455890786517,22.11465981046775,22.021612549413728,1.3503285480524971,1.2827029087229171
18.835866,22.4,1.3505233907463312,1.1892206071119853,18.971008002247192,22.582482944179095,22.465518857099788,1.3502516213084774,1.2799922892782007
19.169124,22.85,1.350254517834523,1.192021085574907,19.317457096629216,23.050357472769793,22.908579087227054,1.3506540175353348,1.2778202679264408
19.502278,23.3,1.3510954517847282,1.1947322256405124,19.663906191011236,23.51826113533328,23.350980841650337,1.350228089354026,1.2761906235589051
19.835515,23.75,1.3499693664507395,1.197347283395465,20.01035528539326,23.986178454137924,23.792910981207392,1.3517847528282652,1.2750954507750842
20.168645,24.2,1.351297522737574,1.19988229253874,20.356804379775284,24.45267371792815,24.23455174663514,1.34627653906425,1.2745161688604065
20.503748,24.65,1.3360755022575734,1.2022192235292786,20.703253474157304,24.91898083216472,24.676077262018495,1.3442413727898805,1.2744247149541097
20.837517,25.1,1.3553556837386402,1.2045581054594945,21.049702568539328,25.386501514797725,25.117650478050813,1.3501080986462168,1.2747848833093367
21.170791,25.55,1.3501267715779166,1.206851458691364,21.396151662921348,25.854471947287124,25.559420598847645,1.3507604406983094,1.275553770761472
21.503867,26.0,1.3510453239052445,1.2090848590162877,21.74260075730337,26.322321837577796,26.001521022073643,1.3507007219229301,1.27668328774102
