Time,Height,Wicking Rate,Avg Wicking Rate
0.336544,-1.0,0.0,-2.971379671008843
0.511712,-0.0625,0.0,-0.12213901569632919
0.669418,0.875,0.0,1.307105575290775
0.836206,1.8125,1.05,2.167528097143527
1.002627,2.75,1.1025,2.742794678379896
1.16931,3.6875,1.1576250000000001,3.153569198929283
1.335811,4.625,1.2155062500000002,3.462316151012381
1.502577,5.5625,1.2762815625000004,3.7019733431298363
1.66906,5.5625,1.3400956406250004,3.332714222376667
1.835631,6.5,1.4071004226562505,3.5410166858153955
2.002256,7.4375,1.477455443789063,3.714559976346681
2.168842,8.375,1.5513282159785162,3.861507661692276
2.335597,9.3125,1.628894626777442,3.987203271797318
2.502183,10.25,1.7103393581163142,4.096423003433402
2.668711,11.1875,1.79585632602213,4.1920987323093435
2.835307,12.125,1.8856491423232367,4.276432851892229
3.001909,13.0625,1.9799315994393987,4.351397727246229
3.168489,14.0,2.0789281794113688,4.418509895410715
3.335023,14.0,2.1828745883819374,4.197872098633202
3.50193,14.0,2.0737308589628403,3.9977955013378335
3.668425,14.9375,2.1774174019109824,4.071910969966675
3.834918,15.875,2.286288272006532,4.139593076044911
4.001952,16.8125,2.4006026856068585,4.201074875460775
4.168222,17.75,2.5206328198872017,4.258410420558214
4.334724,17.75,2.6466644608815617,4.09483971759217
4.501389,17.75,2.5143312378374834,3.9432273016173456
4.668001,17.75,2.3886146759456093,3.802484189699188
4.834827,18.6875,2.50804540974289,3.865184834948593
5.001495,19.625,2.6334476802300344,3.9238267757940375
5.169671,20.5625,2.765120064241536,3.977525842553617
5.336263,20.5625,2.903376067453613,3.8533520555489864
5.503249,20.5625,2.7582072640809323,3.7364291530330536
5.670099,20.5625,2.6202969008768857,3.6264798903863937
5.836198,21.5,2.75131174592073,3.683905172511282
6.002816,22.4375,2.8888773332167665,3.737829045567947
6.169557,22.4375,3.033321199877605,3.636808931338182
6.335935,22.4375,2.8816551398837245,3.5413084256704024
6.502714,22.4375,2.737572382889538,3.4504823678236503
6.669276,22.4375,2.600693763745061,3.364308209766697
6.835899,23.375,2.7307284519323143,3.4194478297587483
7.002394,24.3125,2.86726487452893,3.4720268525307203
7.168983,24.3125,3.0106281182553767,3.3913457459726155
7.335603,24.3125,2.8600967123426075,3.3143151285586203
7.502485,24.3125,2.717091876725477,3.2405929502024997
7.668895,25.25,2.852946470561751,3.2925212824011805
7.835382,25.25,2.9955937940898387,3.2225614526515747
8.001722,26.1875,3.1453734837943306,3.2727330442122335
8.168647,26.1875,3.3026421579840473,3.205855265872059
8.335696,26.1875,3.137510050084845,3.1416092909338342
8.501946,26.1875,2.9806345475806024,3.0801771735553247
8.669017,26.1875,2.831602820201572,3.0208153934869433
8.835386,27.125,2.9731829612116507,3.070041308891315
9.001233,27.125,3.1218421092722335,3.0134760426710434
9.168211,27.125,2.9657500038086217,2.958592466949114
