Time,Height,Wicking Rate,Time_Uniform,Filtered Height (Uniform),Filtered Height (Raw),Wicking Rate (Spline),Wicking Rate Filtered (Spline)
688.403052,132.29974811083122,0.0005021033971112,688.752895533805,132.29974811083122,132.42554764048154,1.1188963418898576e-18,0.08040116400959303
688.736287,132.29974811083122,0.0004769982272556,689.0980154091982,132.29974811083122,132.3954290456217,4.1759450200918765e-18,0.09392185621242337
689.069511,132.29974811083122,0.0004531483158929,689.4431352845912,132.29974811083122,132.36088951328415,1.5584644979254703e-17,0.10596070306061264
689.402659,132.29974811083122,0.0004304909000982,689.7882551599844,132.29974811083122,132.32250198548525,5.815647839493624e-17,0.11616341279572708
689.735837,132.29974811083122,0.0004089663550933,690.1333750353774,132.29974811083122,132.28095897284766,2.1705033919181347e-16,0.12419240249964138
690.069476,132.29974811083122,0.0003885180373386,690.4784949107705,132.29974811083122,132.23706572846723,8.105650516017247e-16,0.12973290092903741
690.404566,132.29974811083122,0.0003690921354717,690.8236147861636,132.29974811083122,132.1917313603722,3.031316226895892e-15,0.1324987744818189
690.737996,132.29974811083122,0.0003506375286981,691.1687346615566,132.29974811083122,132.14595799572433,1.1288681676124753e-14,0.13223797504587795
691.071167,132.29974811083122,0.0003331056522632,691.5138545369497,132.29974811083122,132.10082814400258,4.210822760202565e-14,0.12873751370909675
691.404242,132.29974811083122,0.00031645036965,691.8589744123428,132.29974811083122,132.05749043840078,1.5712321529966354e-13,0.12182787124011119
691.737582,132.29974811083122,0.0003006278511675,692.2040942877359,132.29974811083122,132.01714396398864,5.866011512692183e-13,0.11138676479045652
692.0708,132.29974811083122,0.0002855964586092,692.549214163129,132.29974811083122,131.9810214072958,2.18890951226873e-12,0.09734220028674992
692.403978,132.29974811083122,0.0002713166356787,692.8943340385221,132.29974811083122,131.95037128439947,8.168581794196208e-12,0.07967475132365846
692.737229,132.29974811083122,0.0002577508038948,693.2394539139151,132.29974811083122,131.9264395228989,3.048851757671003e-11,0.05841901785317408
693.070701,132.29974811083122,0.0002448632637,693.5845737893083,132.29974811083122,131.91045068698642,1.1382050916734248e-10,0.03366423138861234
693.403507,132.29974811083122,0.000232620100515,693.9296936647013,132.29974811083122,131.90358914388858,4.243997721948409e-10,0.005553987577600139
693.736935,132.29974811083122,0.0002209890954893,694.2748135400944,132.29974811083122,131.90698047404885,1.5851522235965764e-09,0.025714898401828393
694.070058,132.29974811083122,0.0002099396407148,694.6199334154875,132.29974811083122,131.92167342643833,5.913697332761828e-09,0.0598944033509835
694.403175,132.29974811083122,0.0001994426586791,694.9650532908805,132.29974811083122,131.9486227142807,2.20694526306824e-08,0.09668814941603131
694.736508,132.29974811083122,0.0001894705257451,695.3101731662737,132.29974811083122,131.98867293532322,8.238889921082265e-08,0.13575505979267283
695.069754,132.29974811083122,0.0001799969994578,695.6552930416667,132.29974811083122,132.04254388472904,3.074488972971552e-07,0.17671376335134487
695.767074,132.29974811083122,0.0001709971494849,696.0004129170597,132.29974811083122,132.11081750794636,1.7291770445441194e-06,0.21914768169021703
696.100471,132.29974811083122,0.0001624472920107,696.3455327924529,132.29974811083122,132.19392671585646,4.964839401753238e-06,0.2626107201171984
696.43351,132.29974811083122,0.0001543249274102,696.6906526678459,132.29974811083122,132.29214625551992,1.8121374905460058e-05,0.3066334733332406
696.766702,132.29974811083122,0.0001466086810396,697.0357725432391,132.29974811083122,132.40558579740738,6.753502946901803e-05,0.35072984735712676
697.099947,132.29974811083122,0.0001392782469877,697.3808924186321,132.29974811083122,132.5341853646637,0.0002520373456989229,0.39440399166247075
697.433207,132.29974811083122,0.0001323143346383,697.7260122940252,132.29974811083122,132.6777131923173,0.0009406340028185262,0.4371574297572424
697.7663,132.29974811083122,0.0001256986179064,698.0711321694183,132.29974811083122,132.8357660650578,0.0035096822414010724,0.4784962726275884
698.099707,132.29974811083122,0.000119413687011,698.4162520448114,132.29974811083122,133.00777214194719,0.01310382525844113,0.5179383976651877
698.432878,132.29974811083122,0.0001134430026605,698.7613719202044,132.29974811083122,133.19299623590618,0.04888955218154727,0.5550204759658486
698.766091,132.29974811083122,0.0001077708525275,699.1064917955975,132.30933238194842,133.39054747574005,0.1824650577512932,0.5893047332021139
699.099451,132.29974811083122,0.0001023823099011,699.4516116709906,132.77911360082382,133.59938923954084,0.681110103044273,0.6203853336150905
699.432528,132.75314861460956,2.495143169537186,699.7967315463837,133.24869095131248,133.81835121121924,1.5427711114320306,0.647894282993183
699.765767,133.2065491183879,2.370386011060327,700.1418514217768,133.71798769502857,134.04614337733415,1.3134642826866916,0.671506754645727
700.098912,133.65994962216624,2.251866710507311,700.4869712971698,134.18498996437265,134.2813717499153,1.3680676148491264,0.6909457522448046
700.43436,134.11335012594458,2.1392733749819453,700.832091172563,134.65479164494846,134.52255557317423,1.352287291565555,0.7059860347982273
700.767331,134.56675062972292,2.032309706232848,701.177211047956,135.12418534256474,134.76814574835998,1.3628397257722047,0.7164572417017718
701.100838,135.02015113350126,1.9306942209212057,701.5223309233492,135.59408332511538,135.01654419195606,1.3598898235383108,0.7222461696254209
701.433686,135.4735516372796,1.834159509875145,701.8674507987422,136.06331962641752,135.26612382826278,1.3626433636032507,0.7232981675900221
701.767139,135.92695214105794,1.7424515343813878,702.2125706741352,136.53272608637113,135.51524890840835,1.3552339069183366,0.7196176317782239
702.10066,136.38035264483628,1.6553289576623182,702.5576905495284,137.00248213048943,135.76229534412656,1.3738708072378543,0.7112675970954129
702.43366,136.83375314861462,1.5725625097792022,702.9028104249214,137.4720409440286,136.00567074627946,1.3123190666526687,0.6983684379404945
702.766949,137.28715365239293,1.493934384290242,703.2479303003145,137.74055415617127,136.2438338650357,1.5427642690770704,0.6810957058246268
703.100123,137.74055415617127,1.4192376650757297,703.5930501757076,137.74055415617127,136.4753131406894,0.6804364555386065,0.6596771460644417
703.43326,137.74055415617127,1.348275781821943,703.9381700511007,137.74055415617127,136.6987240910799,0.18208501803166666,0.6343889495223015
703.766478,137.74055415617127,1.2808619927308458,704.2832899264938,137.74055415617127,136.91278528311003,0.047826718555164446,0.6055513080342153
704.099913,137.74055415617127,1.2168188930943034,704.6284098018868,137.74055415617127,137.11633266154416,0.009165569754699739,0.5735233534894957
704.433,137.74055415617127,1.1559779484395882,704.9735296772799,137.74055415617127,137.3083320376057,0.011133655540957585,0.5386975703363703
704.766292,137.74055415617127,1.0981790510176088,705.318649552673,137.74055415617127,137.48788957232514,0.053719537436587236,0.5014937793956004
705.099562,137.74055415617127,1.0432700984667282,705.6637694280661,137.74055415617127,137.65426012450646,0.20373813725943732,0.4623527971252613
705.796764,137.74055415617127,0.9911065935433918,706.0088893034591,138.0290876030622,137.8068533699278,1.147536599802544,0.42172987881636215
706.130097,138.1939546599496,1.0406619232205614,706.3540091788523,138.1939546599496,137.94523763628553,0.7856659505836368,0.38008805650405303
706.463193,138.1939546599496,1.0926950193815894,706.6991290542453,138.1939546599496,138.0691414367328,0.21055998571090978,0.3378914826598791
706.796425,138.1939546599496,1.03806026841251,707.0442489296385,138.1939546599496,138.17845272295395,0.05642515152602861,0.2955988890009158
707.129719,138.1939546599496,0.9861572549918844,707.3893688050315,138.1939546599496,138.27321591586346,0.015122440865632997,0.25365726603541183
707.463219,138.1939546599496,0.93684939224229,707.7344886804245,138.1939546599496,138.3536268075603,0.004048430620380052,0.21249586338794127
