Time,Height,Time_Uniform,Height_Model,Wicking_Rate,Avg Wicking Rate,Modeled Avg Wicking Rate
91.705759,71.9576,91.769286622057,72.49080669121591,0.2417992997888536,0.7846573735898091,0.7899244873697487
91.872524,71.9576,91.94049797769516,72.53217456963644,0.241438561395194,0.7832330806542335,0.7889034339060552
92.039101,71.9576,92.11170933333334,72.5734808425798,0.2410796552015151,0.7818155459819192,0.7878855073674867
92.205591,71.9576,92.2829206889715,72.61472582262932,0.2407225682575623,0.7804038694356398,0.786870693737236
92.372533,71.9576,92.45413204460966,72.65590982015988,0.2403672877145767,0.7789934698445478,0.7858589790784362
92.53877,71.9576,92.62534340024784,72.69703314335507,0.2400138008244606,0.777594082998942,0.7848503495336089
92.705683,72.85707,92.796554755886,72.73809609822447,0.2396620949389519,0.7858964805857694,0.7838447913241171
92.872517,72.85707,92.96776611152416,72.7790989886206,0.2393121575088037,0.7844847146761403,0.7828422907496215
93.038539,72.85707,93.13897746716232,72.8200421162558,0.2389639760829721,0.7830848461625133,0.7818428341875421
93.205543,72.85707,93.3101888228005,72.86092578071904,0.2386175383078105,0.7816817289503908,0.780846408092525
93.371858,72.85707,93.48140017843866,72.90175027949248,0.2382728319262709,0.7802893886935397,0.7798529989959131
93.538507,72.85707,93.65261153407684,72.94251590796793,0.2379298447771118,0.7788992184790805,0.7788625935052196
93.705396,72.85707,93.823822889715,72.98322295946318,0.237588564794113,0.7775120015500495,0.7778751783036078
93.871786,72.85707,93.99503424535315,73.0238717252383,0.2372489800052969,0.7761338428140697,0.7768907401493753
94.038621,72.85707,94.16624560099132,73.06446249451156,0.2369110785321569,0.7747568948294126,0.7759092658754401
94.205303,72.85707,94.3374569566295,73.10499555447547,0.2365748485888917,0.7733860799747122,0.774930742388833
94.371469,72.85707,94.50866831226766,73.14547119031256,0.2362402784816467,0.7720243286665379,0.7739551566701945
94.538376,72.85707,94.67987966790582,73.18588968521108,0.2359073566077612,0.770661323820498,0.7729824957732737
94.704726,72.85707,94.851091023544,73.22625132038047,0.2355760714550226,0.7693076478569824,0.7720127468244324
94.871432,72.85707,95.02230237918216,73.2665563750669,0.235246411600927,0.7679558373272999,0.7710458970221543
95.03824,72.85707,95.19351373482031,73.30680512656843,0.2349183657119448,0.7666079464434525,0.7700819336365555
95.469594,72.85707,95.36472509045848,73.34699785025036,0.2345919225427948,0.7631442320787495,0.7691208440089022
95.636457,72.85707,95.53593644609666,73.38713481956006,0.2342670709357219,0.7618127258729378,0.7681626155511292
95.802615,72.85707,95.70714780173482,73.42721630604211,0.233943799819783,0.7604914542259623,0.7672072357453655
95.969259,72.85707,95.878359157373,73.46724257935291,0.2336220982101378,0.7591709132608807,0.7662546921434598
96.135872,72.85707,96.04957051301116,73.50721390727553,0.2333019552073459,0.7578551947809865,0.7653049723665138
96.302454,72.85707,96.22078186864933,73.54713055573413,0.2329833599966698,0.7565442724855173,0.7643580641044164
96.46922,73.75654,96.39199322428748,73.58699278880849,0.232666301847384,0.7645603437034113,0.7634139551153829
96.635722,73.75654,96.56320457992564,73.62680086874832,0.2323507701120899,0.7632430169042458,0.7624726332254975
96.802273,73.75654,96.73441593556382,73.66655505598746,0.232036754226036,0.761929836089696,0.7615340863282599
