Time,Height,Wicking Rate,Avg Wicking Rate,Time_Uniform,Filtered Height (Uniform),Filtered Height (Raw),Wicking Rate Filtered (Spline),Wicking Rate (Spline)
0.285134,-3.0,0.0,-10.52136890023638,0.285134,-3.0,-3.1107558625927223,5.1966133504028775,4.224601478364937
0.461378,-2.095746,0.0,-4.5423622279345786,0.4557198151260504,-2.124776414113436,-2.2207825403612165,5.237962082436262,5.72843752653182
0.618892,-1.191492,0.0,-1.9252018122709615,0.6263056302521008,-1.1521983865118681,-1.3236239772450267,5.280855300759355,5.506839606828794
0.7895,-0.2872379999999999,0.0,-0.3638226725775806,0.7968914453781513,-0.24588792112637606,-0.41912874093513575,5.323322704202959,5.407036314064369
0.951138,0.617016,0.0,0.6487134359051998,0.9674772605042017,0.7057372691208625,0.49233869736254665,5.362202281603323,5.570618823614492
1.117669,1.5212700000000003,0.0,1.3611095950590026,1.138063075630252,1.6319422306471068,1.4099702185479421,5.395237269766007,5.390371265344835
1.2843,2.4255240000000002,0.0,1.8885961224013084,1.3086488907563025,2.557658560775068,2.33260743823691,5.420654613138974,5.437747022426969
1.45093,3.329778,0.0,2.2949267021841164,1.479234705882353,3.4828212288890152,3.2588483996645317,5.437359796924018,5.4188501255542
1.618168,4.234032,0.0,2.616558972863139,1.6498205210084034,4.404658534951253,4.187159698521795,5.4449086643085,5.387989808482187
1.785914,5.138286000000001,0.0,2.877118383080037,1.8204063361344538,5.326303414875847,5.1159865780311895,5.443485146581976,5.4220797038240685
1.951802,6.042540000000001,0.0,3.095877553153445,1.9909921512605042,6.255483540328425,6.043854359323059,5.4338304477776,5.449175576644362
2.118221,6.946794000000001,0.0,3.279541653113627,2.1615779663865546,7.1826320069953535,6.969455722207545,5.4171473532334735,5.435090227437959
2.284461,7.8510480000000005,0.0,3.4367178953810114,2.3321637815126053,8.109808833796638,7.891719726300903,5.394983846843074,5.4296254274195315
2.451161,8.755302,0.0,3.571900009832076,2.5027495966386555,9.036405916028267,8.80985995907261,5.369106127533236,5.438138793951889
2.617111,9.659556,0.0,3.6909233120031977,2.6733354117647057,9.964421195758622,9.723400714619382,5.341369480940983,5.438146852645257
2.783877,10.56381,0.0,3.794639633863134,2.8439212268907568,10.889913367285143,10.63218155160005,5.313595180619797,5.423173717872483
2.950374,11.468064,0.0,3.886986531199095,3.014507042016807,11.815989437067607,11.536341870292976,5.287460384763153,5.429222069956209
