Time,Height,Time_Uniform,Height_Model,Wicking_Rate,Avg Wicking Rate
0.314514,0.6986899563318777,0.0,0.0,0.0,2.221490796377515
0.482871,0.6986899563318777,0.1712123760875666,1.5310404601158147,5.490305078573028,1.4469495089410582
0.647728,1.3973799126637554,0.3424247521751333,2.3679042525141942,4.458335170815452,2.157356039361824
0.825329,2.096069868995633,0.5136371282626999,3.0870811947901897,3.987793173530391,2.539677957512257
0.980738,2.7947598253275108,0.6848495043502666,3.743376197506297,3.6978004410747465,2.8496497793778874
1.147744,2.7947598253275108,0.8560618804378333,4.3580474470303345,3.4925851982952985,2.435002775294413
1.313756,3.4934497816593884,1.0272742565253998,4.942020856369033,3.335192564899553,2.659131362033276
1.480366,4.192139737991266,1.1984866326129666,5.501806106215511,3.207940643591861,2.831826546942625
1.646981,4.890829694323144,1.3696990087005332,6.041660804319108,3.1011649409869846,2.9695726267170928
1.813592,5.5895196506550215,1.5409113847880995,6.564556245702411,3.0090776471183,3.0820160491747988
1.980243,6.288209606986899,1.7121237608756663,7.072668022785281,2.9279725865409207,3.17547372064282
2.146832,6.986899563318777,1.883336136963233,7.567649351729147,2.8553516009084774,3.254516218930395
2.313389,7.685589519650654,2.0545485130507997,8.0507942993221,2.7894609459745454,3.3222210011591886
2.481109,8.384279475982533,2.2257608891383662,8.523140704203868,2.729028111816139,3.3792467303865057
2.646611,9.08296943231441,2.3969732652259332,8.985537976716973,2.6731041080222755,3.431924613142774
2.814429,9.781659388646288,2.5681856413135,9.43869340230694,2.620964649502127,3.475539581437758
2.979824,10.480349344978166,2.7393980174010664,9.883204735186853,2.5720458951395413,3.5171034748958885
3.146911,11.179039301310045,2.910610393488633,10.319583740035844,2.5259013117895206,3.552384958236838
3.31297,11.87772925764192,3.0818227695761995,10.748273577401632,2.4821719180060287,3.5852208917200943
3.479671,12.576419213973798,3.2530351456637665,11.169661893527856,2.44056526412581,3.6142552597569706
3.646237,13.275109170305676,3.424247521751333,11.584090845080045,2.4008402706559284,3.6407696949775
3.8143,13.973799126637552,3.5954598978388996,11.991864893182294,2.3627960882355388,3.66352912110677
3.979558,14.672489082969433,3.766672273926466,12.393256945309124,2.326263776379368,3.686964502834092
4.147321,15.371179039301309,3.9378846500140328,12.788513254184252,2.2910999950648585,3.7062911309014446
4.312672,16.069868995633186,4.109097026101599,13.177857368217891,2.257182157923828,3.726197817880234
4.479601,16.768558951965066,4.280309402189166,13.5614933489208,2.224404662956795,3.7433152979394966
4.645987,17.46724890829694,4.4515217782767325,13.939608415179556,2.192675928627261,3.7596422263551195
4.813956,17.46724890829694,4.6227341543642995,14.312375134625228,2.1619160395392765,3.6284604404977823
4.979412,17.46724890829694,4.7939465304518665,14.679953253606987,2.132054858847998,3.5078938855224155
5.148254,18.16593886462882,4.965158906539433,15.042491236198565,2.103030501836741,3.5285630554803284
5.31399,18.864628820960696,5.136371282627,15.40012756699542,2.0747880917197,3.5499932858286702
5.480743,18.864628820960696,5.307583658714566,15.752991860681,2.0472787379916206,3.44198383703828
5.652558,19.563318777292576,5.478796034802133,16.101205812391363,2.020458691748685,3.4609673668616185
5.821524,19.563318777292576,5.6500084108897,16.444884016042185,1.994288642845968,3.3605150090066753
5.986827,19.563318777292576,5.821220786977266,16.78413467246687,1.9687331315672572,3.267727425110593
6.15284,20.26200873362445,5.992433163064833,17.119060205064628,1.9437600533822723,3.293114843490884
6.319319,20.96069868995633,6.163645539152399,17.44975779739102,1.9193402398624655,3.3169236574314938
6.4863,20.96069868995633,6.334857915239966,17.7763198645338,1.895447102282436,3.2315339546361304
6.652482,21.659388646288207,6.506070291327533,18.09883446804876,1.8720563271114892,3.2558357386443446
6.81367,21.659388646288207,6.677282667415099,18.417385682568316,1.8491456146898368,3.1788138618818063
6.980019,21.659388646288207,6.848495043502666,18.732053920851257,1.8266944540268997,3.1030558292589467
7.147441,22.35807860262009,7.019707419590232,19.04291622294828,1.8046839279593097,3.128123562351909
7.313403,23.05676855895197,7.190919795677799,19.35004651426368,1.783096543941611,3.152673052333089
7.479898,23.05676855895197,7.362132171765366,19.65351583655726,1.7619160865721128,3.0824977237593303
7.646705,23.05676855895197,7.533344547852932,19.953392555323163,1.7411274886246262,3.015255402026359
7.819111,23.75545851528384,7.704556923940499,20.249742546476696,1.7207167178981528,3.038127801905337
7.985931,23.75545851528384,7.8757693000280655,20.54262936485953,1.7006706776372833,2.9746636322407296
8.152861,24.45414847161572,8.046981676115632,20.832114396720492,1.6809771186366596,2.99945607702814
8.318302,24.45414847161572,8.218194052203199,21.118256998032493,1.6616245614392289,2.9398005111639036
8.479497,24.45414847161572,8.389406428290766,21.40111462025535,1.642602227282697,2.883914985949723
8.646298,25.152838427947597,8.560618804378333,21.68074292494191,1.6238999766514832,2.9090876150634175
8.812951,25.152838427947597,8.7318311804659,21.957195888404065,1.6055082544603532,2.854076736378949
8.979166,25.152838427947597,8.903043556553465,22.230525897500847,1.5874180410370684,2.8012443948522168
9.146499,25.851528384279476,9.074255932641032,22.50078383747902,1.5696208081897802,2.826385088357794
9.312457,25.851528384279476,9.2454683087286,22.76801917268251,1.5521084797445757,2.776015866089849
9.479154,25.851528384279476,9.416680684816166,23.03228002084976,1.5348733960227758,2.727197847432321
9.645835,26.55021834061135,9.587893060903731,23.29361322163323,1.5179082817989438,2.752505961444639
9.816104,26.55021834061135,9.759105436991298,23.552064399902,1.5012062173412368,2.70476131269711
9.982327,26.55021834061135,9.930317813078863,23.80767802432502,1.484760612187458,2.6597223613904206
