Time,Height,Wicking Rate,Avg Wicking Rate,Time_Uniform,Height_Model,Wicking_Rate
366.862871,84.55018,0.0,0.23046807590403445,366.7518853426966,83.68562809162286,0.05773163903338058
367.02945,84.55018,0.0,0.23036347628235282,366.9232647283707,83.69552092136566,0.057717834195459616
367.196005,84.55018,0.0,0.23025898661397473,367.0946441140449,83.70541138618158,0.05770404029830907
367.362685,84.55018,0.0,0.23015451337960469,367.26602349971904,83.71529948794414,0.05769025732419562
367.529342,84.55018,0.0,0.230050149302093,367.4374028853932,83.72518522852378,0.05767648525543386
367.695879,84.55018,0.0,0.2299459548742998,367.60878227106735,83.73506860978796,0.05766272407438622
367.862469,84.55018,0.0,0.22984182167276218,367.78016165674154,83.7449496336011,0.057648973763462695
368.0291,84.55018,0.0,0.22973775715018185,367.95154104241567,83.75482830182457,0.057635234305120825
368.195578,84.55018,0.0,0.22963388224070413,368.12292042808986,83.76470461631685,0.057621505681865345
368.362324,84.55018,0.0,0.22952993422856133,368.294299813764,83.7745785789333,0.05760778787624818
368.528906,84.55018,0.0,0.22942618237930024,368.46567919943817,83.78445019152639,0.05759408087086813
368.695551,84.55018,0.0,0.22932248509828096,368.6370585851123,83.79431945594553,0.057580384648370855
368.862103,84.55018,0.0,0.22921893930643236,368.8084379707865,83.80418637403723,0.05756669919144857
369.028748,84.55018,0.0,0.22911542924021733,368.9798173564606,83.81405094764497,0.05755302448283998
369.195305,84.55018,0.0,0.22901206720383402,369.1511967421348,83.82391317860936,0.05753936050533003
369.361982,84.55018,0.0,0.22890872401697257,369.32257612780893,83.83377306876801,0.05752570724174983
369.528627,84.55018,0.0,0.22880549387043836,369.4939555134831,83.84363061995558,0.05751206467497639
369.695179,84.55018,0.0,0.22870241432063684,369.66533489915724,83.8534858340038,0.05749843278793258
369.861747,84.55018,0.0,0.22859941771702064,369.83671428483143,83.86333871274154,0.05748481156358685
370.028406,84.55018,0.0,0.22849645764763257,370.00809367050556,83.87318925799468,0.05747120098495312
370.194999,84.55018,0.0,0.22839363100094173,370.17947305617975,83.88303747158623,0.05745760103509063
370.363679,84.55018,0.0,0.22828961043990492,370.3508524418539,83.8928833553363,0.05744401169710375
