Time,Height,Time_Uniform,Height_Model,Wicking_Rate,Avg Wicking Rate,Modeled Avg Wicking Rate
0.286764,-3.0,0.0,0.0,0.0,-10.46156421308114,0.0
0.496441,-3.0,0.1712176205990541,1.451348231183958,4.680982846447536,-6.043014174896916,8.476628901312838
0.659696,-2.095746,0.3424352411981082,2.1410277904906776,3.5658346478906457,-3.176835997186583,6.252358206473364
0.826935,-1.191492,0.5136528617971624,2.7048208055609795,3.0695846977700096,-1.440853271417947,5.265853666418572
0.984387,-0.2872379999999999,0.6848704823962165,3.2031219921479503,2.7721626867762965,-0.2917937762282516,4.676974806887436
1.15125,0.617016,0.8560881029952706,3.6593266270669815,2.567944897979088,0.5359530944625407,4.274474337703999
1.317744,1.5212700000000003,1.0273057235943248,4.085434727386069,2.416177190956258,1.1544503332969076,3.9768441210392553
1.495489,2.425524,1.198523344193379,4.488576091375572,2.2973617069936223,1.6218935746100438,3.7450885818135147
1.661417,3.329778,1.369740964792433,4.873397232613284,2.200843001802421,2.0041795647931857,3.5578969731344685
1.817688,4.234032,1.5409585853914871,5.243126549724033,2.12024121244112,2.3293502515283158,3.4025097101438284
1.984191,5.138286000000001,1.7121762059905412,5.600115433335418,2.051472284115108,2.589612592739308,3.27075882361979
2.150867,6.042540000000001,1.8833938265895955,5.946139721770941,1.9917844510812064,2.809350833873039,3.1571409217890816
2.319263,6.946794000000001,2.0546114471886496,6.282579723541323,1.939246925720505,2.9952592698628835,3.057794568475638
2.484177,7.851048,2.2258290677877035,6.610533726292855,1.892459635972939,3.1604221438327462,2.9699197579727894
2.652991,8.755302,2.397046688386758,6.930892769012438,1.850379280915778,3.300162721999434,2.8914300262032087
2.817277,9.659556,2.568264308985812,7.244391704984528,1.8122103482985743,3.4286852162566905,2.8207344857918004
2.984019,10.56381,2.739481929584866,7.5516451437923955,1.777334240681656,3.540128263258377,2.7565960783456425
3.150575,11.468064,2.9106995501839203,7.853173409611201,1.745261700876664,3.6399907953310113,2.698036425338018
3.317604,12.372318,3.0819171707829742,8.1494217095473,1.7155999939935591,3.729293188698832,2.6442701922053615
3.494267,12.372318,3.2531347913820285,8.440774564289503,1.688029724878546,3.5407477448059925,2.59465872322604
3.660763,13.276572000000002,3.4243524119810824,8.727566858212189,1.6622881167161871,3.62672262585696,2.5486765987274804
