Time,Height,Wicking Rate,Avg Wicking Rate,Time_Uniform,Filtered Height (Uniform),Filtered Height (Raw),Wicking Rate Filtered (Spline),Wicking Rate (Spline)
0.255523,-1.0,0.0,-3.9135420294846255,0.255523,-1.0,-1.0734688468756712,1.7479609485469327,4.23562103419183
0.427949,-0.095746,0.0,-0.2237322671626759,0.4266542532394366,-0.10253604290087628,-0.772181780966422,1.7727621725416456,5.82577447279398
0.589566,0.808508,0.0,1.371361306452543,0.5977855064788733,0.8530229137946245,-0.4668555659057332,1.795166226074916,4.988985068823985
0.756533,1.7127620000000001,0.0,2.263962047921241,0.7689167597183098,1.7806875132315112,-0.1579444243788987,1.8144019133686682,7.283194111538228
0.921391,2.617016,0.0,2.8402882164032426,0.9400480129577464,2.4943384958720207,0.15391274197469088,1.8295453250883107,1.3775387914849606
1.088034,1.5212700000000003,0.0,1.3981824097408724,1.111179266197183,1.5212700000000003,0.4680042127859623,1.8405492559340724,4.914984974174013
1.254548,1.5212700000000003,0.0,1.2126040613830642,1.2823105194366196,1.5212700000000003,0.783658804531652,1.8479605219746624,1.317843989631582
1.421267,1.5212700000000003,0.0,1.0703618672635051,1.4534417726760562,1.5212700000000003,1.100352483419525,1.852929285745425,0.35358487865575655
1.587806,1.5212700000000003,0.0,0.9580956363686749,1.624573025915493,1.5212700000000003,1.4178007800932484,1.8570873366008214,0.09715484613551112
1.754363,1.5212700000000003,0.0,0.8671352508004332,1.7957042791549296,1.5212700000000003,1.7360307661426144,1.8624184545608584,0.03501729097953999
1.92097,1.5212700000000003,0.0,0.7919280363566324,1.9668355323943663,1.5212700000000003,2.055427902442999,1.871099877779994,0.04290617634633079
2.087622,1.5212700000000003,0.0,0.7287095077557145,2.137966785633803,1.5212700000000003,2.376754840749787,1.8853338910704804,0.13662113398405468
2.254287,1.5212700000000003,0.0,0.6748342158740215,2.3090980388732394,1.5212700000000003,2.701141132713739,1.9071783289065618,0.5035963273862005
2.420812,1.5212700000000003,0.0,0.6284131109726819,2.4802292921126763,1.5212700000000003,3.0300446555915053,1.9383871524616292,1.877032888170411
2.587436,1.5212700000000003,0.0,0.5879449771897741,2.6513605453521127,2.288648474260831,3.3651872907484,1.980270461743382,7.006467646706314
2.754041,3.5212700000000003,0.0,1.2785829985828099,2.8224917985915496,3.8928424388111686,3.7084688934785337,2.033581949087103,9.865871078708343
2.920622,4.425524,0.0,1.5152676381948778,2.993623051830986,4.821402145468144,4.061864794006513,2.0984398060313554,5.826979318169924
3.087369,5.329778,0.0,1.7263171328079023,3.1647543050704225,4.820314241567809,4.427312915813779,2.1742849247886853,0.6253320481037703
3.253808,4.234032,0.0,1.3012544071438759,3.3358855583098594,4.234032,4.806597059052638,2.2598779454317692,6.828924883425112
3.420438,4.234032,0.0,1.2378625193615556,3.507016811549296,5.273112819098036,5.201232968562224,2.3533344533131593,8.184350515341144
3.587083,6.234032,0.0,1.7379112777708239,3.678148064788733,6.728355845143088,5.612363505572003,2.4521955487168947,10.09534466175727
3.753666,7.138286000000001,0.0,1.9016838472043067,3.8492793180281692,7.657112024977012,6.040668607379701,2.553529201317987,3.720859793690577
3.920309,8.04254,0.0,2.051506654194861,4.020410571267606,8.58584450001511,6.486294804270803,2.654056348203412,7.584395647254508
4.086914,8.946794,0.0,2.189131946500465,4.191541824507042,8.258488623069528,6.948807933737809,2.750294651709411,1.4963668809845714
4.253476,7.8510480000000005,0.0,1.8457957679789425,4.362673077746479,7.8510480000000005,7.427171421786542,2.8387122294511027,5.055171036441224
4.420053,7.8510480000000005,0.0,1.776233904887566,4.533804330985916,7.8510480000000005,7.919751165223893,2.915883503681213,1.9804968505439655
4.586673,7.8510480000000005,0.0,1.7117086829603942,4.704935584225352,7.8510480000000005,8.424346720585467,2.978639565800582,2.866533916024174
4.753285,7.8510480000000005,0.0,1.6517099227166057,4.876066837464789,9.325302808424055,8.938247251987823,3.024206068931325,9.485458639696933
4.919853,9.851048,0.0,2.002305353432308,5.047198090704225,9.014209050719716,9.458309569650392,3.050322585426787,0.9502769335902278
5.086597,8.755302,0.0,1.7212493932584005,5.218329343943662,10.318352628788448,9.98105464957616,3.055338524800897,3.046507975839288
5.255155,10.755302,0.0,2.0466193670786113,5.389460597183099,9.87063220203792,10.502778296463942,3.0382820232426417,2.454372184494161
5.421505,9.659556,0.0,1.7817111669176733,5.560591850422536,11.329877671470774,11.019671116537035,2.9988996107870842,2.609008870984589
5.588044,11.659556,0.0,2.086518287973395,5.731723103661972,10.716171354850125,11.527942711777811,2.9376658626630325,3.3450469656931587
5.754928,10.56381,0.0,1.835611149261989,5.9028543569014085,12.34198474337551,12.02394498723074,2.8557635814140245,0.39602865840923157
5.921308,12.56381,0.0,2.121796400389914,6.073985610140845,13.392020273073738,12.50428966333236,2.755036280579682,11.507105652466059
6.088004,13.468064,0.0,2.2122298211367797,6.245116863380282,14.320696769170732,12.965955481911607,2.6379158055085914,5.93531236275701
6.254629,14.372318,0.0,2.297868986313976,6.416248116619719,13.308610319763162,13.406381157472127,2.507328801338362,2.6909793344626154
6.421116,13.276572000000002,0.0,2.0676424472007673,6.587379369859155,15.27105830193981,13.823540820290411,2.3665864037557878,1.3515088840212375
6.587839,15.276572000000002,0.0,2.3189048791265243,6.758510623098592,16.153702829337817,14.215999488221975,2.2192619776192872,13.500061359427203
6.754389,16.180826,0.0,2.3956017339244156,6.929641876338028,15.085080000000001,14.582946953016569,2.0690619645170782,3.083868330897262
