Time,Height,Time_Uniform,Height_Model,Wicking_Rate
307.06063,70.15866,307.024364537234,68.48355390900221,0.06346607023578468
307.227324,70.15866,307.19559954255317,68.49442000700044,0.06344837916814079
307.393935,70.15866,307.3668345478723,68.50528307693494,0.06343070288788263
307.560556,70.15866,307.53806955319146,68.51614312133611,0.06341304137440713
307.727168,70.15866,307.7093045585106,68.52700014273074,0.0633953946071516
307.893786,70.15866,307.88053956382976,68.53785414364215,0.06337776256559344
308.060292,70.15866,308.0517745691489,68.54870512659016,0.06336014522925022
308.226913,70.15866,308.22300957446805,68.55955309409104,0.06334254257767948
308.393618,70.15866,308.3942445797872,68.57039804865761,0.06332495459047861
308.560111,71.05813,308.56547958510635,68.58123999279917,0.0633073812472848
308.726702,71.05813,308.7367145904255,68.59207892902155,0.06328982252777492
308.893357,71.05813,308.90794959574464,68.60291485982708,0.06327227841166545
309.059964,71.05813,309.0791846010638,68.61374778771469,0.0632547488787123
309.226613,71.05813,309.25041960638293,68.62457771517974,0.06323723390871082
309.393299,71.05813,309.4216546117021,68.63540464471421,0.06321973348149555
309.559923,71.05813,309.5928896170212,68.64622857880661,0.06320224757694035
309.726331,71.05813,309.76412462234043,68.65704951994203,0.06318477617495799
309.893003,71.05813,309.9353596276596,68.66786747060208,0.0631673192555004
310.059576,71.05813,310.1065946329787,68.67868243326495,0.06314987679855827
310.226265,71.05813,310.2778296382979,68.68949441040544,0.06313244878416116
310.394645,71.05813,310.449064643617,68.70030340449492,0.06311503519237728
310.561515,71.05813,310.62029964893617,68.71110941800129,0.06309763600331343
310.727702,71.05813,310.7915346542553,68.72191245338917,0.06308025119711494
310.894285,71.05813,310.96276965957446,68.73271251311965,0.0630628807539655
311.061294,71.05813,311.1340046648936,68.74350959965055,0.06304552465408714
311.22757,71.05813,311.30523967021276,68.75430371543621,0.06302818287774008
311.394307,71.05813,311.4764746755319,68.76509486292763,0.06301085540522267
311.560889,71.05813,311.64770968085105,68.77588304457247,0.06299354221687123
311.727333,71.05813,311.8189446861702,68.78666826281498,0.06297624329306006
311.894335,71.05813,311.99017969148935,68.79745052009608,0.06295895861420127
312.060504,71.05813,312.1614146968085,68.80822981885333,0.0629416881607447
