Time,Height,Wicking Rate,Avg Wicking Rate,Time_Uniform,Height_Model,Wicking_Rate
279.44129,79.15335999999999,0.0,0.2832557779847065,279.54246542780896,78.84187469477884,0.0744045987323571
279.607952,79.15335999999999,0.0,0.28308694167610793,279.7138587235955,78.85462477686701,0.07437698133743617
279.774537,79.15335999999999,0.0,0.2829183843846375,279.885252019382,78.867370129068,0.07434940533864723
279.941103,79.15335999999999,0.0,0.2827500468911133,280.0566453151685,78.880110758467,0.07432187062145829
280.107702,79.15335999999999,0.0,0.2825818763098488,280.2280386109551,78.89284667212961,0.07429437707173611
280.276118,79.15335999999999,0.0,0.28241207479547004,280.3994319067416,78.9055778771019,0.07426692457574462
280.442885,79.15335999999999,0.0,0.28224413680525356,280.5708252025281,78.9183043804105,0.07423951302014337
280.609238,79.15335999999999,0.0,0.2820768145915424,280.7422184983146,78.93102618906264,0.07421214229198608
280.776253,79.15335999999999,0.0,0.28190902597450074,280.91361179410114,78.94374331004619,0.07418481227871918
280.942455,79.15335999999999,0.0,0.2817422521633478,281.08500508988766,78.95645575032981,0.07415752286818025
281.109135,79.15335999999999,0.0,0.2815751967647725,281.2563983856742,78.96916351686296,0.07413027394859661
281.275977,79.15335999999999,0.0,0.2814081772792135,281.4277916814607,78.98186661657596,0.07410306540858382
281.442309,79.15335999999999,0.0,0.28124186545101143,281.5991849772472,78.99456505638008,0.0740758971371442
281.60901,80.05283,0.0,0.28426942021492846,281.7705782730337,79.00725884316759,0.07404876902366542
281.775963,80.05283,0.0,0.28410098983496335,281.94197156882024,79.01994798381185,0.07402168095791899
281.94217,80.05283,0.0,0.28393351019466156,282.11336486460675,79.03263248516734,0.07399463283005879
282.108782,80.05283,0.0,0.28376582051954696,282.28475816039327,79.04531235406981,0.07396762453061977
282.275567,80.05283,0.0,0.2835981549901554,282.4561514561798,79.05798759733617,0.07394065595051633
282.442001,80.05283,0.0,0.2834310397057412,282.6275447519663,79.07065822176475,0.07391372698104098
282.608648,80.05283,0.0,0.28326390776265276,282.7989380477528,79.08332423413526,0.07388683751386296
282.775292,80.05283,0.0,0.28309697581357285,282.9703313435393,79.09598564120888,0.07385998744102673
282.941876,80.05283,0.0,0.28293030049747747,283.14172463932584,79.1086424497283,0.07383317665495054
283.108849,80.05283,0.0,0.28276343280248367,283.31311793511236,79.12129466641781,0.07380640504842513
283.27496,80.05283,0.0,0.28259762175943826,283.4845112308989,79.13394229798337,0.07377967251461226
283.441533,80.05283,0.0,0.282431544709434,283.6559045266854,79.14658535111266,0.07375297894704325
283.60906,80.05283,0.0,0.2822647132640967,283.8272978224719,79.1592238324751,0.07372632423961778
283.774792,80.05283,0.0,0.2820998631901032,283.9986911182584,79.17185774872203,0.07369970828660223
283.941764,80.05283,0.0,0.2819339743201708,284.17008441404494,79.18448710648666,0.07367313098262852
284.108094,80.05283,0.0,0.28176891715024494,284.34147770983145,79.19711191238414,0.07364659222269268
284.274624,80.05283,0.0,0.2816038550102875,284.51287100561797,79.20973217301173,0.07362009190215336
284.44134,80.05283,0.0,0.2814388021094261,284.6842643014045,79.22234789494871,0.07359362991673067
284.607874,80.05283,0.0,0.28127412244399114,284.855657597191,79.23495908475657,0.07356720616250459
284.774531,80.05283,0.0,0.2811095139684384,285.0270508929775,79.24756574897899,0.07354082053591385
284.941317,80.05283,0.0,0.28094497085517434,285.19844418876403,79.26016789414193,0.07351447293375435
285.107627,80.05283,0.0,0.28078108903063476,285.36983748455054,79.27276552675374,0.07348816325317799
285.539174,80.05283,0.0,0.2803567331185177,285.54123078033706,79.2853586533051,0.07346189139169125
285.705789,80.05283,0.0,0.2801932375265942,285.7126240761236,79.2979472802692,0.07343565724715387
285.872383,80.05283,0.0,0.2800299530857445,285.8840173719101,79.31053141410177,0.07340946071777753
286.039005,80.05283,0.0,0.27986683144838936,286.0554106676966,79.32311106124106,0.0733833017021245
286.205631,80.05283,0.0,0.27970389583285316,286.2268039634831,79.33568622810803,0.07335718009910634
286.372271,80.05283,0.0,0.2795411361597925,286.39819725926964,79.34825692110631,0.0733310958079826
286.538892,80.05283,0.0,0.279378584321461,286.56959055505615,79.3608231466223,0.07330504872835947
286.705526,80.05283,0.0,0.27921620875908754,286.74098385084267,79.37338491102523,0.07327903876018851
286.87211,80.05283,0.0,0.27905407047063585,286.91237714662924,79.38594222066718,0.07325306580376538
287.038701,80.05283,0.0,0.27889211357600174,287.08377044241576,79.39849508188323,0.07322712975972846
287.205345,80.05283,0.0,0.2787302931287717,287.25516373820227,79.41104350099138,0.07320123052905765
287.371934,80.05283,0.0,0.2785687136726442,287.4265570339888,79.42358748429278,0.073175368013073
287.538499,80.05283,0.0,0.278407344680477,287.5979503297753,79.43612703807162,0.07314954211343354
287.705185,80.05283,0.0,0.27824604551356974,287.7693436255618,79.4486621685953,0.07312375273213587
287.871663,80.05283,0.0,0.2780851340689271,287.94073692134833,79.46119288211445,0.07309799977151303
288.038272,80.05283,0.0,0.2779242822287172,288.11213021713485,79.47371918486297,0.0730722831342332
288.204906,80.05283,0.0,0.2777635922686202,288.28352351292136,79.48624108305813,0.0730466027232983
288.371552,80.05283,0.0,0.2776030764643525,288.4549168087079,79.49875858290062,0.07302095844204295
288.538148,80.05283,0.0,0.27744279415004774,288.6263101044944,79.51127169057452,0.07299535019413311
288.704747,80.05283,0.0,0.2772826939350602,288.7977034002809,79.52378041224748,0.07296977788356482
288.871361,80.05283,0.0,0.27712276399736285,288.9690966960674,79.53628475407073,0.07294424141466299
289.03795,80.05283,0.0,0.27696304239633585,289.14048999185394,79.54878472217911,0.07291874069208021
289.204669,80.05283,0.0,0.2768033803769606,289.31188328764046,79.56128032269118,0.0728932756207954
289.371196,80.05283,0.0,0.2766440858889079,289.48327658342697,79.57377156170915,0.07286784610611276
289.5378,80.05283,0.0,0.2764849011079037,289.6546698792135,79.58625844531915,0.07284245205366034
289.704367,80.05283,0.0,0.2763259347070871,289.826063175,79.59874097959107,0.07281709336938903
289.871017,80.05283,0.0,0.27616707192219914,289.9974564707865,79.61121917057875,0.07279176995957122
290.037614,80.05283,0.0,0.2760084421326125,290.16884976657303,79.62369302432,0.07276648173079962
290.204177,80.05283,0.0,0.2758500267899314,290.34024306235955,79.63616254683663,0.07274122858998608
290.372883,80.05283,0.0,0.27568975853712896,290.51163635814606,79.64862774413453,0.07271601044436038
290.539084,80.05283,0.0,0.27553205199752057,290.6830296539326,79.66108862220368,0.07269082720146902
290.705793,80.05283,0.0,0.27537404457571296,290.8544229497191,79.6735451870183,0.07266567876917412
290.872651,80.9523,0.0,0.2783083927680777,291.0258162455056,79.68599744453682,0.0726405650556521
291.038917,80.9523,0.0,0.2781493995182781,291.1972095412921,79.69844540070196,0.07261548596939262
291.205585,80.9523,0.0,0.2779902040683732,291.36860283707864,79.71088906144078,0.07259044141919734
291.372155,80.9523,0.0,0.2778312841870562,291.53999613286516,79.72332843266472,0.07256543131417874
291.572325,80.9523,0.0,0.2776405476754352,291.71138942865167,79.7357635202697,0.07254045556375906
291.738748,80.9523,0.0,0.2774821670243131,291.8827827244382,79.74819433013613,0.07251551407766903
291.905268,80.9523,0.0,0.2773238748127012,292.0541760202247,79.76062086812897,0.07249060676594675
292.071925,80.9523,0.0,0.2771656330884935,292.2255693160112,79.7730431400978,0.07246573353893652
292.238598,80.9523,0.0,0.2770075566814757,292.39696261179773,79.7854611518768,0.0724408943072878
292.405591,80.9523,0.0,0.27684935750766815,292.56835590758425,79.79787490928499,0.07241608898195388
292.571793,80.9523,0.0,0.27669208699144826,292.73974920337076,79.81028441812602,0.07239131747419092
292.738456,80.9523,0.0,0.2765345595728632,292.9111424991573,79.82268968418845,0.0723665796955567
292.905138,80.9523,0.0,0.2763771934925907,293.0825357949438,79.83509071324559,0.0723418755579096
293.071761,80.9523,0.0,0.27622006202091914,293.2539290907303,79.84748751105586,0.07231720497340731
293.23823,80.9523,0.0,0.27606325409889426,293.4253223865168,79.85988008336246,0.07229256785450593
293.404784,80.9523,0.0,0.2759065441823198,293.59671568230334,79.8722684358937,0.07226796411395867
293.57147,80.9523,0.0,0.2757498880936898,293.7681089780899,79.88465257436297,0.07224339366481478
293.737988,80.9523,0.0,0.2755935674210446,293.9395022738764,79.89703250446877,0.07221885642041856
293.904671,80.9523,0.0,0.27543726924979695,294.11089556966294,79.90940823189473,0.07219435229440808
