Time,Height,Time_Uniform,Height_Model,Wicking_Rate,Avg Wicking Rate,Modeled Avg Wicking Rate
321.255411,125.0,321.27546349806096,125.90005165027036,0.1104851044960484,0.3890985045540602,0.3918757140040052
321.588613,125.0,321.62241324265926,125.93837142371616,0.1104101687266901,0.388695354707724,0.39157212382676065
321.921933,125.0,321.9693629872576,125.9766652333685,0.1103354354355532,0.3882928970857043,0.39126910729811953
322.255167,125.0,322.316312731856,126.01493314931122,0.1102609036670514,0.3878913755322347,0.39096666278304876
322.588261,125.0,322.6632624764543,126.0531752412976,0.1101865724711034,0.3874908516897334,0.3906647886525231
322.921546,125.0,323.0102122210526,126.09139157875218,0.1101124409030982,0.3870909251747482,0.3903634832834985
323.254397,125.0,323.35716196565096,126.12958223077275,0.110038508023862,0.3866923425019954,0.39006274505888644
323.587885,125.45,323.7041117102493,126.16774726613224,0.109964772899624,0.3876844771243521,0.3897625723675274
323.921204,125.45,324.0510614548476,126.2058867532804,0.1098912346019829,0.3872855449129536,0.3894629636041651
324.254462,125.45,324.398011199446,126.24400076034595,0.1098178922078741,0.3868875056528906,0.38916391716942056
324.587889,125.45,324.7449609440443,126.28208935513815,0.1097447447995363,0.3864900825058202,0.3888654314697662
324.920822,125.45,325.09191068864266,126.3201526051489,0.1096717914644787,0.3860940620173613,0.38856750491750086
325.253961,125.45,325.43886043324096,126.35819057755428,0.1095990312954487,0.3856986079871292,0.3882701359307237
325.951386,125.45,325.7858101778393,126.39620333921656,0.109526463390399,0.3848733442722651,0.387973322933309
326.284561,125.45,326.1327599224377,126.43419095668597,0.1094540868524561,0.3844803432179557,0.3876770643548814
326.617795,125.45,326.479709667036,126.47215349620242,0.1093819007898875,0.384088074564339,0.3873813586307905
326.951422,125.45,326.82665941163435,126.51009102369731,0.1093099043160704,0.3836961443158978,0.3870862042020854
327.284184,125.45,327.17360915623266,126.5480036047954,0.1092380965494604,0.3833060261781547,0.38679159951549125
327.617443,125.45,327.520558900831,126.5858913048164,0.1091664766135593,0.3829161196401865,0.38649754302338307
327.950604,125.45,327.8675086454293,126.62375418877676,0.1090950436368848,0.3825271198463778,0.386204033183762
328.283814,125.45,328.2144583900277,126.66159232139152,0.1090237967529388,0.3821388525722441,0.3859110684602307
328.617087,125.45,328.56140813462605,126.69940576707586,0.1089527351001771,0.3817512994995296,0.38561864732196893
328.9507,125.45,328.90835787922435,126.737194589947,0.1088818578219788,0.381364137544015,0.38532676824370965
329.283505,125.9,329.2553076238227,126.77495885382572,0.1088111640666154,0.3823452984685643,0.3850354297057143
329.616738,125.9,329.602257368421,126.81269862223814,0.1087406529872215,0.3819587584171772,0.3847446301937494
329.94991,125.9,329.9492071130194,126.8504139584175,0.1086703237417637,0.3815730696820011,0.38445436819906254
330.28312,125.9,330.29615685761775,126.88810492530564,0.1086001754930119,0.3811881152146074,0.38416464221835883
330.618743,125.9,330.64310660221605,126.92577158555474,0.1085302074085088,0.3808011574225845,0.38387545075377677
330.952141,125.9,330.9900563468144,126.96341400152906,0.1084604186605411,0.3804175420034524,0.38358679231286524
331.285094,125.9,331.3370060914127,127.0010322353064,0.1083908084261097,0.3800352091905469,0.38329866540855995
331.618368,125.9,331.6839558360111,127.03862634867995,0.1083213758869012,0.3796532766242912,0.38301106855916034
331.951603,125.9,332.0309055806094,127.07619640315971,0.1082521202292588,0.3792721555256355,0.3827240002883062
332.284877,125.9,332.37785532520775,127.11374245997423,0.1081830406441531,0.378891754378578,0.3824374591249547
332.61805,125.9,332.7248050698061,127.15126458007218,0.1081141363271548,0.3785122304697536,0.3821514436033577
332.951491,125.9,333.0717548144044,127.18876282412384,0.108045406478405,0.3781331617463759,0.38186595226303854
333.284469,125.9,333.4187045590028,127.22623725252284,0.1079768503025882,0.377755376293877,0.38158098364876974
333.617603,125.9,333.7656543036011,127.26368792538764,0.1079084670089036,0.3773781685014984,0.3812965363105504
333.95084,125.9,334.11260404819944,127.30111490256314,0.1078402558110377,0.3770015970015227,0.38101260880358334
334.28403,125.9,334.4595537927977,127.3385182436222,0.1077722159271366,0.3766258292386867,0.3807291996882534
334.61719,126.35,334.8065035373961,127.37589800786712,0.1077043465797783,0.3775956638689124,0.3804463075301042
334.950738,126.35,335.1534532819945,127.41325425433128,0.1076366469959461,0.377219649535449,0.38016393089981726
335.283324,126.35,335.5004030265928,127.45058704178066,0.1075691164070007,0.3768454645838574,0.3798820683731892
335.981161,126.35,335.84735277119114,127.48789642871527,0.107501754048654,0.3760627519231651,0.3796007185311098
336.314318,126.35,336.19430251578945,127.5251824733707,0.107434559160942,0.375690219647443,0.37931987995954053
336.647594,126.35,336.5412522603878,127.56244523371969,0.1073675309881982,0.3753182920416178,0.3790395512494926
336.980819,126.35,336.8882020049861,127.59968476747338,0.1073006687790275,0.3749471568588003,0.37875973099700544
337.313955,126.35,337.2351517495845,127.63690113208315,0.1072339717862795,0.3745768537800341,0.37848041780312547
337.647176,126.35,337.58210149418284,127.67409438474176,0.1071674392670231,0.3742071872089343,0.3782016102738842
337.98038,126.35,337.92905123878114,127.71126458238496,0.1071010704825198,0.3738382683633884,0.37792330702027743
338.313719,126.35,338.2760009833795,127.74841178169294,0.1070348646981987,0.3734699271831775,0.3776455066582438
338.646837,126.35,338.6229507279778,127.78553603909172,0.1069688211836306,0.3731025546238897,0.37736820780864394
338.980084,126.35,338.96990047257617,127.8226374107547,0.1069029392125024,0.3727357622579384,0.37709140909723926
339.31323,126.35,339.3168502171745,127.85971595260386,0.1068372180625922,0.3723698012010908,0.3768151091546713
339.646415,126.8,339.66379996177284,127.8967717203114,0.1067716570157443,0.3733294225996762,0.3765393066164408
339.979673,126.8,340.0107497063712,127.93380476930106,0.1067062553578437,0.3729634742015885,0.3762640001228873
340.312864,126.8,340.3576994509695,127.97081515474947,0.106641012378792,0.3725983158838215,0.37598918831916833
340.648455,126.8,340.70464919556787,128.00780293158766,0.1065759273724823,0.3722312493682086,0.37571486985523905
340.981785,126.8,341.0515989401662,128.0447681545022,0.1065109996367752,0.3718673711559108,0.37544104338583173
341.314879,126.8,341.39854868476453,128.081710877937,0.1064462284734739,0.3715044605482903,0.37516770757043605
341.648085,126.8,341.7454984293629,128.11863115609415,0.1063816131883007,0.3711421359203579,0.374894861073278
341.981312,126.8,342.0924481739612,128.1555290429357,0.1063171530908727,0.3707804945786043,0.37462250256330104
342.314478,126.8,342.4393979185596,128.1924045921848,0.1062528474946778,0.370419623326595,0.3743506307141448
342.647748,126.8,342.78634766315787,128.22925785732707,0.1061886957170514,0.3700593415252798,0.3740792442041266
342.981004,126.8,343.13329740775623,128.2660888916119,0.1061246970791527,0.369699774976459,0.37380834171622
343.314247,126.8,343.48024715235454,128.30289774805397,0.106060850905941,0.3693409204774423,0.3735379219380373
343.647436,126.8,343.8271968969529,128.3396844794342,0.1059971565261532,0.3689828199387467,0.37326798356180757
343.980631,126.8,344.17414664155126,128.37644913830144,0.1059336132722798,0.3686254067020418,0.3729985252843593
344.313808,126.8,344.5210963861496,128.41319177697352,0.1058702204805429,0.368268704460438,0.37272954580709955
344.647093,126.8,344.8680461307479,128.4499124475386,0.1058069774908724,0.3679125765903384,0.37246104383599543
344.980348,127.25,345.21499587534623,128.48661120185653,0.1057438836468845,0.368861590921695,0.3721930180815546
345.313451,127.25,345.5619456199446,128.52328809156003,0.105680938295858,0.3685057724554147,0.3719254672588061
346.044277,127.25,345.9088953645429,128.55994316805598,0.1056181407887129,0.3677275090435898,0.3716583900872817
346.377398,127.25,346.25584510914126,128.5965764825267,0.1055554904799876,0.367373855034271,0.3713917852909964
346.710628,127.25,346.6027948537396,128.63318808593118,0.1054929867278171,0.3670207652244223,0.3711256515984303
347.043876,127.25,346.949744598338,128.66977802900638,0.1054306288939109,0.3666683344673109,0.3708599877425094
347.377134,127.25,347.2966943429363,128.70634636226836,0.1053684163435314,0.3663165693571529,0.3705947924605869
347.710277,127.25,347.6436440875346,128.74289313601363,0.1053063484454718,0.3659655995730031,0.37033006449442507
