Time,Height,Wicking Rate,Avg Wicking Rate,Time_Uniform,Filtered Height (Uniform),Filtered Height (Raw),Wicking Rate Filtered (Spline),Wicking Rate (Spline)
0.269218,4.0,0.0,14.857847543626354,0.269218,4.0,3.9412173295941897,3.5638407926999047,5.347231068681314
0.435735,4.89947,0.0,11.244150687918117,0.44031649408783785,4.924291359011628,4.552283855078055,3.577240356987588,5.432880183290739
0.601758,5.79894,0.0,9.63666457280169,0.6114149881756756,5.85095237802167,5.164728565541512,3.5799506361785287,5.379513945187123
0.76876,6.69841,0.0,8.71326551849732,0.7825134822635136,6.77313211968955,5.77671320131434,3.5718078809538065,5.460605815658066
0.934318,7.59788,0.0,8.132006447483619,0.9536119763513513,7.702223778574607,6.386387340180902,3.553090084112973,5.236127669100196
1.100637,8.49735,0.0,7.720392827062874,1.1247104704391893,8.627299555335131,6.992037618816344,3.5250389263711233,6.119749990927894
1.267266,9.39682,0.0,7.41503362356443,1.295808964527027,9.39682,7.5922235246464895,3.4895969495070673,2.700963808794558
1.434,9.39682,0.0,6.5528730822873085,1.4669074586148647,9.39682,8.1858892105498,3.449281037257967,0.7265410509771343
1.600407,9.39682,0.0,5.871518932371578,1.6380059527027027,9.39682,8.772442873397868,3.4069621809669965,0.20764775029130778
1.766945,9.39682,0.0,5.318116862720685,1.8091044467905406,9.39682,9.351797891434156,3.365633696847092,0.10380492944316583
1.933544,9.39682,0.0,4.859894577004713,1.9802029408783783,9.39682,9.924372925556971,3.3281685628397404,0.20757195360238673
2.100144,9.39682,0.0,4.474369376576083,2.151301434966216,9.39682,10.491051327052917,3.2970888258981588,0.7264847537589773
2.26691,9.39682,0.0,4.145210881772986,2.322399929054054,9.696378427328842,11.053103228355502,3.274362818152947,2.699607973762158
2.433527,10.296289999999999,0.0,4.231015312342948,2.493498423141892,10.620216426185767,11.612076407571678,3.2612450647993168,6.127513987423438
2.600054,11.19576,0.0,4.305972106733168,2.6645969172297295,11.544184065302034,12.1696642249664,3.258169908316689,5.188991105661297
2.766674,12.09523,0.0,4.37175829172501,2.8356954113175674,12.467834933667506,12.727560485482439,3.2647058531432034,5.515386818881874
2.933292,12.9947,0.0,4.430073787403368,3.0067939054054054,13.391661571538364,13.287311891925928,3.2795730823031533,5.139645509810397
3.099839,13.894169999999999,0.0,4.482223109006629,3.1778923994932433,14.31521730778616,13.850178781037807,3.300722031669715,6.323142572323294
3.266582,14.79364,0.0,4.528782684775707,3.3489908935810813,14.79364,14.417014098690833,3.3254666068807595,1.951061536421813
3.433117,14.79364,0.0,4.309098699519999,3.5200893876689188,15.26325570369107,14.988169144076837,3.3506619029316673,2.048227537161132
