Time,Height,Time_Uniform,Height_Model,Wicking_Rate
612.04348,76.45495,612.2378665200855,77.51947527449325,0.04053396046045772
612.209957,76.45495,612.4091218673639,77.52641644660577,0.040528292564120084
612.376662,76.45495,612.5803772146422,77.53335664826427,0.04052262704475724
612.545369,76.45495,612.7516325619206,77.54029587987571,0.04051696390070823
612.709668,76.45495,612.922887909199,77.54723414184673,0.040511303130313765
612.87655,76.45495,613.0941432564772,77.55417143458368,0.040505644731916125
613.042926,76.45495,613.2653986037556,77.56110775849264,0.040499988703859235
613.209451,76.45495,613.4366539510339,77.5680431139794,0.040494335044488655
613.376318,76.45495,613.6079092983123,77.57497750144947,0.040488683752151526
613.542668,76.45495,613.7791646455906,77.58191092130807,0.040483034825196634
613.709289,76.45495,613.950419992869,77.58884337396015,0.040477388261974355
613.876248,76.45495,614.1216753401474,77.59577485981035,0.040471744060836694
614.042451,76.45495,614.2929306874256,77.60270537926309,0.04046610222013725
614.209287,76.45495,614.464186034704,77.60963493272243,0.040460462738231236
614.375901,76.45495,614.6354413819823,77.6165635205922,0.04045482561347546
614.542224,76.45495,614.8066967292607,77.62349114327593,0.040449190844228336
614.709184,76.45495,614.977952076539,77.63041780117689,0.04044355842884989
614.875515,76.45495,615.1492074238174,77.63734349469802,0.04043792836570173
615.04239,76.45495,615.3204627710958,77.64426822424204,0.04043230065314707
615.473599,76.45495,615.4917181183741,77.65119199021134,0.04042667528955071
615.64021,76.45495,615.6629734656524,77.65811479300807,0.04042105227327906
615.806862,76.45495,615.8342288129307,77.66503663303408,0.04041543160270008
615.973418,76.45495,616.0054841602091,77.67195751069093,0.04040981327618337
616.140023,76.45495,616.1767395074875,77.67887742637993,0.040404197292100076
616.306645,76.45495,616.3479948547658,77.68579638050208,0.04039858364882295
616.473244,76.45495,616.5192502020442,77.69271437345813,0.04039297234472632
616.639909,76.45495,616.6905055493226,77.69963140564852,0.040387363378186096
616.806454,76.45495,616.8617608966008,77.70654747747345,0.04038175674757975
616.973051,76.45495,617.0330162438792,77.7134625893328,0.04037615245128636
617.139639,76.45495,617.2042715911575,77.72037674162623,0.040370550487686556
617.30628,76.45495,617.3755269384359,77.72728993475306,0.04036495085516254
617.472891,76.45495,617.5467822857142,77.73420216911236,0.0403593535520981
617.639438,76.45495,617.7180376329926,77.74111344510293,0.040353758576878576
617.806119,76.45495,617.889292980271,77.74802376312329,0.04034816592789089
617.972633,76.45495,618.0605483275492,77.75493312357167,0.040342575603523514
618.139249,76.45495,618.2318036748276,77.76184152684607,0.04033698760216649
618.305878,76.45495,618.4030590221059,77.76874897334415,0.040331401922211414
618.472443,76.45495,618.5743143693843,77.77565546346331,0.04032581856205146
618.639126,76.45495,618.7455697166627,77.78256099760073,0.04032023752008133
618.805692,76.45495,618.916825063941,77.78946557615325,0.0403146587946973
618.972271,76.45495,619.0880804112194,77.79636919951747,0.040309082384297194
619.138889,76.45495,619.2593357584977,77.8032718680897,0.040303508287280396
619.305513,76.45495,619.430591105776,77.81017358226597,0.04029793650204781
619.472106,76.45495,619.6018464530543,77.81707434244208,0.04029236702700193
619.638735,76.45495,619.7731018003327,77.82397414901351,0.04028679986054676
619.805392,76.45495,619.9443571476111,77.83087300237548,0.04028123500108785
619.971893,76.45495,620.1156124948894,77.83777090292295,0.04027567244703232
620.138496,76.45495,620.2868678421678,77.84466785105059,0.0402701121967888
620.307151,76.45495,620.4581231894462,77.85156384715278,0.04026455424876746
620.473415,76.45495,620.6293785367244,77.85845889162366,0.04025899860138003
620.640133,76.45495,620.8006338840028,77.86535298485713,0.04025344525303974
620.806683,76.45495,620.9718892312811,77.87224612724674,0.040247894202161384
620.973212,76.45495,621.1431445785595,77.87913831918581,0.04024234544716126
621.140126,76.45495,621.3143999258378,77.8860295610674,0.0402367989864572
621.30663,76.45495,621.4856552731162,77.89291985328428,0.04023125481846858
621.472996,76.45495,621.6569106203946,77.89980919622896,0.04022571294161627
621.639945,76.45495,621.8281659676728,77.90669759029365,0.04022017335432269
621.806347,76.45495,621.9994213149512,77.91358503587034,0.04021463605501176
621.972962,76.45495,622.1706766622295,77.92047153335072,0.04020910104210893
622.139801,76.45495,622.3419320095079,77.9273570831262,0.04020356831404118
622.306205,76.45495,622.5131873567863,77.93424168558796,0.04019803786923695
622.473024,76.45495,622.6844427040646,77.94112534112686,0.04019250970612628
622.639578,76.45495,622.855698051343,77.94800805013355,0.040186983823140635
622.805934,76.45495,623.0269533986213,77.95488981299835,0.04018146021871304
622.972865,76.45495,623.1982087458996,77.96177063011135,0.04017593889127802
623.139193,76.45495,623.369464093178,77.96865050186236,0.04017041983927158
623.305778,76.45495,623.5407194404563,77.97552942864093,0.04016490306113127
623.472741,76.45495,623.7119747877347,77.98240741083634,0.040159388555296105
623.63896,76.45495,623.883230135013,77.9892844488376,0.040153876320206616
623.806022,76.45495,624.0544854822914,77.99616054303345,0.040148366354304826
623.972333,76.45495,624.2257408295698,78.00303569381238,0.04014285865603428
624.138759,76.45495,624.396996176848,78.00990990156257,0.040137353223839975
624.305714,76.45495,624.5682515241264,78.01678316667201,0.040131850056168414
624.471935,76.45495,624.7395068714047,78.02365548952835,0.040126349151467615
624.638591,76.45495,624.9107622186831,78.030526870519,0.040120850508187055
624.805486,76.45495,625.0820175659615,78.03739731003111,0.04011535412477772
624.97175,76.45495,625.2532729132398,78.04426680845158,0.04010985999969207
625.138734,76.45495,625.4245282605182,78.05113536616702,0.04010436813138404
625.56998,76.45495,625.5957836077964,78.05800298356375,0.04009887851830906
625.736577,76.45495,625.7670389550748,78.0648696610279,0.04009339115892404
625.903223,76.45495,625.9382943023531,78.0717353989453,0.04008790605168735
626.069787,76.45495,626.1095496496315,78.07860019770148,0.040082423195058864
626.236456,76.45495,626.2808049969099,78.08546405768175,0.040076942587499914
626.403017,76.45495,626.4520603441882,78.09232697927112,0.04007146422747329
626.569632,76.45495,626.6233156914666,78.09918896285441,0.040065988113443286
626.736208,76.45495,626.794571038745,78.1060500088161,0.04006051424387563
626.902852,76.45495,626.9658263860232,78.11291011754042,0.04005504261723755
627.069463,76.45495,627.1370817333016,78.11976928941137,0.04004957323199772
627.236092,76.45495,627.3083370805799,78.12662752481268,0.040044106086626265
627.402742,76.45495,627.4795924278583,78.13348482412778,0.04003864117959479
627.569292,76.45495,627.6508477751366,78.14034118773989,0.04003317850937636
627.735836,76.45495,627.822103122415,78.14719661603195,0.04002771807444551
627.902459,76.45495,627.9933584696934,78.1540511093866,0.04002225987327819
628.069044,76.45495,628.1646138169716,78.16090466818629,0.04001680390435184
628.235798,76.45495,628.33586916425,78.16775729281315,0.04001135016614535
628.402264,76.45495,628.5071245115283,78.1746089836491,0.04000589865713903
628.56889,76.45495,628.6783798588067,78.18145974107574,0.04000044937581468
628.735533,76.45495,628.849635206085,78.18830956547447,0.039995002320655525
628.902103,76.45495,629.0208905533634,78.19515845722638,0.03998955749014623
629.06867,76.45495,629.1921459006418,78.20200641671235,0.039984114882772925
629.235311,76.45495,629.36340124792,78.20885344431294,0.03997867449702318
629.40215,76.45495,629.5346565951984,78.21569954040851,0.03997323633138596
629.568464,76.45495,629.7059119424767,78.22254470537914,0.039967800384351736
629.735073,76.45495,629.8771672897551,78.22938893960462,0.039962366654412364
629.901723,76.45495,630.0484226370335,78.23623224346454,0.039956935140061156
630.068291,76.45495,630.2196779843118,78.2430746173382,0.03995150583979286
630.236983,76.45495,630.3909333315902,78.24991606160461,0.03994607875210365
630.403261,77.35442,630.5621886788686,78.2567565766426,0.03994065387549113
630.569841,77.35442,630.7334440261468,78.2635961628307,0.03993523120845433
630.736765,77.35442,630.9046993734252,78.27043482054714,0.039929810749493706
