Time,Height,Wicking Rate,Time_Uniform,Filtered Height (Uniform),Filtered Height (Raw),Wicking Rate (Spline),Wicking Rate Filtered (Spline)
0.687714,-1.0,0.0,0.687714,-1.0,-0.8472575362113001,1.3590630463631908,1.435400240869403
1.024003,-0.53125,0.0,1.0328627432150315,-0.5186518903754979,-0.35387143062744963,1.4182858569691572,1.4234741436946994
1.353656,-0.0625,0.0,1.3780114864300628,-0.028248727156810465,0.1352924665278282,1.41558943424704,1.4109342185438245
1.686976,0.40625,1.05,1.723160229645094,0.4571678824123353,0.6200445646540745,1.4043066626434473,1.3979740459049343
2.020088,0.875,1.1025,2.0683089728601254,0.9428281070799639,1.1002991807457523,1.407659080544954,1.3849160392312545
2.353336,1.34375,1.157625,2.4134577160751567,1.4283277107167862,1.5760672861804226,1.4064411902574705,1.3720202298307964
2.686545,1.8125,1.2155062500000002,2.758606459290188,1.9138599426335177,2.047448152265783,1.4067306991253326,1.359531684291697
3.019801,2.28125,1.2762815625000004,3.1037552025052193,2.399340119802915,2.5146201101927947,1.4066892307500845,1.3476647805101605
3.353051,2.75,1.3400956406250004,3.4489039457202506,2.884763422202796,2.97783064733278,1.4060463130797283,1.3366052202204117
3.686458,3.21875,1.4053787261703423,3.794052688935282,3.3702001205307086,3.4373860631501274,1.406748812419184,1.326508106632777
4.019472,3.6875,1.4092008726955925,4.139201432150313,3.855931328258848,3.8936409045570572,1.4075737721191668,1.3174978765036107
4.352683,4.15625,1.4055197612779702,4.4843501753653445,4.3414271496668295,4.3469873925899805,1.4060509186782353,1.3096685017169856
4.68598,4.625,1.4063783611429077,4.829498918580375,4.8267679930555625,4.797845040204982,1.4077314575791706,1.3030843366454168
5.019405,5.09375,1.4055344241953962,5.174647661795406,5.310669538905406,5.24665064521682,1.3998224227793818,1.2977814490261528
5.354875,5.5625,1.3903078443367156,5.519796405010438,5.794839168638647,5.6938488234503986,1.4025117076963198,1.2937694052823323
5.687608,6.03125,1.421172754420469,5.86494514822547,6.280398905358988,6.139883225595394,1.4084782567231893,1.2910334365202212
6.021251,6.5,1.397924019442637,6.210093891440501,6.765635490932137,6.585188557649421,1.4047902147067355,1.2895369166167674
6.35449,6.96875,1.4093489292125942,6.5552426346555315,7.251188314108831,7.030183499820323,1.4071434516808872,1.2892240779082702
6.68767,7.4375,1.406537626360119,6.900391377870563,7.736837299585506,7.475264592958428,1.407271587364386,1.2900228893476604
7.020783,7.90625,1.407332926080755,7.245540121085595,8.22221264559209,7.920801135622198,1.4060023552983898,1.2918480221941957
7.354224,8.375,1.4045473833637616,7.590688864300626,8.70810365232667,8.367131109342342,1.4076494428052195,1.2946038304296825
7.686982,8.84375,1.4115441339954518,7.935837607515657,9.193374201695098,8.81455812510336,1.4068398255178163,1.2981872767316092
8.020629,9.3125,1.4008330681248158,8.28098635073069,9.678914793663266,9.26334936102634,1.405831892494029,1.30249073991588
8.353701,9.78125,1.4106246796611552,8.62613509394572,10.164180467291542,9.713734440176585,1.4066829984701377,1.307404646095296
8.687191,10.25,1.4033101851373722,8.971283837160751,10.649827413325033,10.165905178735118,1.4062679197461279,1.3128198731980385
9.020256,10.71875,1.409464492063966,9.316432580375782,11.135319966187629,10.620016118795032,1.4071653945362115,1.3186298867396817
9.353532,11.1875,1.4051515911898202,9.661581323590813,11.620960072323914,11.076185747028223,1.4066960637631125,1.324732573621222
9.686661,11.65625,1.407926689937108,10.006730066805845,12.106381335177193,11.534498290592705,1.4068642573817598,1.3310317500049702
10.019969,12.125,1.4055200630132734,10.351878810020876,12.591862084690522,11.995005975014143,1.4062557267132882,1.3374383287692004
10.353221,12.59375,1.4070420977791098,10.697027553235907,13.077507724019162,12.45773162539677,1.4069631626174735,1.343871141435679
10.686362,13.0625,1.4073736136224828,11.04217629645094,13.563208595915958,12.922671492141092,1.4068570071911828,1.3502574185828535
11.019489,13.53125,1.407014111248565,11.38732503966597,14.049313151939002,13.389798185238591,1.4081574350674686,1.3565329413982905
11.352253,14.0,1.4099146488186838,11.732473782881002,14.534564632449785,13.859063606979193,1.40784620057649,1.3626418850003281
11.685633,14.46875,1.403369869685985,12.077622526096032,15.019709961116748,14.330401781286826,1.4045890945440087,1.3685363813042202
12.019246,14.9375,1.4051219367188048,12.422771269311063,15.505545863326583,14.803731488580343,1.4071711081521165,1.3741758353822109
12.352101,15.40625,1.4112607750388793,12.767920012526096,15.990678267082178,15.278958627685485,1.406760962224754,1.379526034355548
12.685717,15.875,1.40131149905676,13.113068755741127,16.476270563693735,15.755978240508108,1.4057825986900185,1.3845580917732005
13.018819,16.34375,1.4101032373795874,13.458217498956158,16.961590069497166,16.23467615050471,1.4069688741304924,1.3892472731208185
13.352198,16.8125,1.404360267007727,13.80336624217119,17.447088314116215,16.7149301820236,1.4061954904962979,1.3935717495365452
13.685531,17.28125,1.4068030638888611,14.148514985386221,17.93277764508437,17.196610943905775,1.4051756569457408,1.3975113269935169
14.018598,17.75,1.4082453455570612,14.493663728601252,18.418334848412155,17.67958217690228,1.4139778156143668,1.401046197175135
14.351782,18.21875,1.4060941363983166,14.838812471816283,18.903850604721853,18.163700680073386,1.381673537522691,1.4041557540759515
14.685009,18.6875,1.4067122405038803,15.183961215031314,19.245784720794383,18.648815845998804,1.5000706823484002,1.406817517095797
15.018243,19.15625,1.4067050852827006,15.529109958246346,19.432262690946615,19.13476884799511,1.0581441088522512,1.4090061971649765
15.885844,19.625,1.3363698310185654,15.874258701461377,19.618740661098848,19.62139153429535,1.0762074362019172,1.4106929373723707
