Time,Height,Time_Uniform,Height_Model,Wicking_Rate
249.103109,99.1470588235294,248.9232569377289,99.20880771415584,0.12149343628217332
249.436275,99.1470588235294,249.26994671062266,99.25090850740679,0.1213796355010624
249.769529,99.1470588235294,249.61663648351646,99.29296991774527,0.1212662419247647
250.102767,99.1470588235294,249.96332625641023,99.33499208594034,0.1211532532214827
250.438211,99.1470588235294,250.310016029304,99.37697515195539,0.12104066707506825
250.771508,99.58823529411764,250.65670580219776,99.41891925495352,0.12092848118491115
251.104781,99.58823529411764,251.00339557509153,99.46082453330294,0.12081669326582797
251.437905,99.58823529411764,251.3500853479853,99.50269112458221,0.1207053010479523
251.771121,99.58823529411764,251.6967751208791,99.54451916558563,0.12059430227662528
252.104363,99.58823529411764,252.04346489377286,99.58630879232842,0.12048369471228733
252.437562,99.58823529411764,252.39015466666663,99.62806014005206,0.12037347613037037
252.770823,99.58823529411764,252.7368444395604,99.66977334322924,0.12026364432119116
253.104002,99.58823529411764,253.08353421245417,99.71144853556925,0.12015419708984511
253.437225,99.58823529411764,253.43022398534794,99.75308585002293,0.12004513225610101
253.770425,99.58823529411764,253.77691375824173,99.79468541878776,0.11993644765429666
254.103844,99.58823529411764,254.1236035311355,99.83624737331301,0.11982814113323502
254.436881,100.02941176470588,254.47029330402927,99.87777184430455,0.11972021055608134
254.769686,100.02941176470588,254.81698307692304,99.91925896172992,0.11961265380026087
255.103285,100.02941176470588,255.1636728498168,99.96070885482331,0.1195054687573575
255.800668,100.02941176470588,255.51036262271057,100.00212165209031,0.119398653333013
256.133903,100.02941176470588,255.85705239560437,100.04349748131287,0.11929220544682705
256.467149,100.02941176470588,256.20374216849814,100.08483646955406,0.11918612303225813
256.800455,100.02941176470588,256.5504319413919,100.12613874316295,0.11908040403652483
257.133545,100.02941176470588,256.8971217142857,100.16740442777927,0.11897504642050821
257.466672,100.02941176470588,257.24381148717947,100.20863364833815,0.11887004815865476
257.79993,100.02941176470588,257.5905012600732,100.24982652907482,0.11876540723888004
258.133251,100.47058823529412,257.937191032967,100.2909831935293,0.11866112166247296
258.466452,100.47058823529412,258.28388080586075,100.33210376455094,0.11855718944400094
258.799751,100.47058823529412,258.63057057875454,100.37318836430305,0.1184536086112157
259.132896,100.47058823529412,258.97726035164834,100.4142371142675,0.11835037720495964
259.466075,100.47058823529412,259.3239501245421,100.45525013524912,0.11824749327907307
259.799307,100.47058823529412,259.6706398974359,100.49622754738036,0.11814495490030191
260.132488,100.47058823529412,260.0173296703296,100.53716947012555,0.11804276014820639
260.468124,100.47058823529412,260.3640194432234,100.57807602228553,0.11794090711507006
260.801405,100.47058823529412,260.71070921611715,100.61894732200187,0.11783939390580975
261.134564,100.47058823529412,261.05739898901095,100.65978348676137,0.11773821863788593
261.467628,100.47058823529412,261.40408876190475,100.7005846334003,0.11763737944121401
261.800846,100.91176470588236,261.7507785347985,100.74135087810873,0.11753687445807612
262.134084,100.91176470588236,262.0974683076923,100.78208233643481,0.11743670184303356
262.467263,100.91176470588236,262.444158080586,100.82277912328907,0.1173368597628398
262.800602,100.91176470588236,262.7908478534798,100.86344135294848,0.11723734639635443
263.13371,100.91176470588236,263.1375376263736,100.90406913906082,0.1171381599344573
263.466967,100.91176470588236,263.48422739926735,100.94466259464866,0.1170392985799637
263.800047,100.91176470588236,263.83091717216115,100.98522183211361,0.11694076054753988
264.133426,100.91176470588236,264.1776069450549,101.02574696324031,0.11684254406361931
264.466582,100.91176470588236,264.5242967179487,101.06623809920063,0.1167446473663195
264.799959,100.91176470588236,264.8709864908424,101.10669535055757,0.11664706870535954
265.133115,100.91176470588236,265.2176762637362,101.14711882726934,0.11654980634197806
265.830357,100.91176470588236,265.56436603663,101.18750863869332,0.11645285854885198
266.163603,101.35294117647058,265.91105580952376,101.22786489359001,0.11635622361001571
266.496811,101.35294117647058,266.25774558241756,101.26818770012702,0.11625989982078096
