Time,Height,Wicking Rate,Avg Wicking Rate,Time_Uniform,Filtered Height (Uniform),Filtered Height (Raw),Wicking Rate Filtered (Spline),Wicking Rate (Spline)
0.247207,-3.0,0.0,-12.135578685069596,0.247207,-3.0,-3.109078211695252,5.20264504786725,5.223408156146231
0.418074,-2.095746,0.0,-5.0128589675512,0.4173739371069183,-2.0994508386834245,-2.2202557346287763,5.244160423990149,5.33221239587037
0.588203,-1.191492,0.0,-2.025647608053682,0.5875408742138365,-1.1950112700282816,-1.3242009064701752,5.287648059792907,5.269568867866518
0.756745,-0.2872379999999999,0.0,-0.37957039689723737,0.7577078113207547,-0.2816901026194155,-0.42069162295578755,5.331106818148004,5.629611751041062
0.913674,0.617016,0.0,0.6753130766553498,0.927874748427673,0.6936599672960635,0.4899703571046391,5.371304537141881,5.623863659635044
1.081216,1.5212700000000003,0.0,1.4069991565052684,1.0980416855345911,1.6133602669091562,1.4070271739438693,5.405894483904484,5.380699095954561
1.246431,2.4255240000000002,0.0,1.9459753488159393,1.2682086226415095,2.543399413822865,2.3293545981662143,5.432995803721087,5.467151314774692
1.413493,3.329778,0.0,2.3557088715685186,1.4383755597484276,3.464918931101148,3.2555661749755593,5.451396677176946,5.409506770221439
1.579987,4.234032,0.0,2.6797891375055616,1.608542496855346,4.389066266890623,4.184124089537374,5.460533830115077,5.426492522645408
1.74654,5.138286000000001,0.0,2.9419801435982005,1.7787094339622642,5.312969468876412,5.113449392077415,5.4604785408703735,5.465666324658105
1.913066,6.042540000000001,0.0,3.158563269641508,1.9488763710691823,6.2306994175423895,6.042024954809253,5.451873677678521,5.2888547788082585
2.085163,6.946794000000001,0.0,3.3315352324974117,2.1190433081761006,7.136889767573647,6.9684855884995125,5.435845033454416,5.440479456240332
2.246326,7.8510480000000005,0.0,3.4950617141056113,2.289210245283019,8.08367935046343,7.891691031936219,5.4138906305547625,5.5704693933657
2.41302,8.755302,0.0,3.6283586543004205,2.4593771823899373,9.007056697157042,8.810778945333864,5.387757695038163,5.3925718808724
2.579526,9.659556,0.0,3.7447019336110587,2.629544119496855,9.930910427537418,9.72519649272245,5.359315458542028,5.425516072647743
2.746205,10.56381,0.0,3.846693892116576,2.7997110566037735,10.854599829060245,10.634710499531511,5.3304317918393815,5.4730597791719005
2.91259,11.468064,0.0,3.93741103279212,2.969877993710692,11.766791293756302,11.539397442421274,5.3028606024744,5.261908210555724
3.086002,12.372318,0.0,4.009173681676162,3.14004493081761,12.677475524968761,12.439615606589252,5.278145675397424,5.439859826438609
3.246144,13.276572000000002,0.0,4.089951647246703,3.3102118679245285,13.624068811016434,13.335962586342559,5.257545135384819,5.59995327950463
3.412861,14.180826,0.0,4.1551138472970335,3.4803788050314464,14.547957566650865,14.229221881118711,5.241979117730521,5.3840291434486
3.579159,15.085080000000001,0.0,4.2146995984252165,3.6505457421383647,15.472834073413495,15.120302642994227,5.232001641043158,5.448485860007556
3.745635,15.989334,0.0,4.2687912730418205,3.820712679245283,16.39656875639,16.010176671581526,5.22779617998372,5.4299306173961295
3.912343,16.893588,0.0,4.318023240804807,3.9908796163522013,17.317562791394444,16.899816551343566,5.229193114205987,5.399523503289239
4.079846,17.797842,0.0,4.362380834962888,4.16104655345912,18.241283468683932,17.790138419873394,5.2357061431307494,5.440023469020563
4.245428,18.702096,0.0,4.405232169760033,4.331213490566038,19.163984552718464,18.681952287264572,5.246583944466783,5.419846816733719
4.413373,19.60635,0.0,4.442486506352397,4.501380427672957,20.087344786994226,19.575922145060815,5.260872836973958,5.41794073003509
4.578824,20.510604,0.0,4.479447998001234,4.671547364779875,21.013612455891614,20.47253735873436,5.277485984445318,5.458767095728609
4.745512,21.414858,0.0,4.512654904254799,4.8417143018867925,21.937413106776113,21.372096078908644,5.295274730187443,5.418099140748066
4.911985,22.319112,0.0,4.543807035241354,5.011881238993711,22.86094431079998,22.2747006779442,5.313097946642083,5.438858997599022
5.0787,23.223366,0.0,4.572698919014708,5.182048176100629,23.778688496415022,23.180264557809963,5.329885779408917,5.393824960724208
5.246986,24.12762,0.0,4.598377049224069,5.3522151132075475,24.69767317805655,24.088529112016705,5.344694807957834,5.378072173367758
5.413907,25.031874,0.0,4.623624676227353,5.522382050314466,25.620830859907755,24.99908917948299,5.35675238291958,5.465852190210526
5.580454,25.936128,0.0,4.647673468861136,5.692548987421384,26.526360167118355,25.91142501308199,5.365488679004102,5.29868780206797
5.752187,26.840382,0.0,4.666117773987529,5.8627159245283025,27.454298512308988,26.82493860311524,5.370555774468882,5.431064165991365
5.914988,27.744636,0.0,4.690565052710166,6.032882861635221,28.37454033999099,27.738992141149627,5.3718337906477185,5.455457656032546
6.084231,28.64889,0.0,4.708711750096274,6.203049798742139,29.310379142913806,28.652946471187168,5.369424765109194,5.4516638169467155
6.246656,29.553144000000003,0.0,4.73103433260932,6.3732167358490575,30.227953995898734,29.56619753683024,5.363635466081999,5.481607941621529
6.416249,30.457397999999998,0.0,4.746916461627347,6.543383672955976,31.147425529540726,30.478209075635696,5.354950770392786,5.331906571623081
6.582854,31.361652,0.0,4.764142118297018,6.713550610062893,32.07089711759933,31.388540114418717,5.343999518241112,5.471719041573951
6.749486,32.265906,0.0,4.780498248311057,6.8837175471698115,32.9848548384963,32.29686616109538,5.331514929796303,5.343773229364315
6.918315,33.17016,0.0,4.79454317995061,7.05388448427673,33.930733572621726,33.2029933502417,5.318291731415534,5.502841988193418
7.079495,34.074414,0.0,4.813113647230487,7.224051421383648,34.85890916433316,34.10686516360527,5.305142108276224,5.556346811757743
