Time,Height,Time_Uniform,Height_Model,Wicking_Rate,Avg Wicking Rate
4.260728,17.9894,4.109842074895978,9.44958247132249,1.6365856919470958,4.222142319340732
4.427627,17.9894,4.28108549468331,9.72816608642519,1.617196032151036,4.062989045825224
4.593975,17.9894,4.452328914470643,10.003491843585527,1.5985252049894572,3.9158680663260026
4.760773,18.88887,4.623572334257974,10.275677411817304,1.5805112438607534,3.9676056808421656
4.927507,18.88887,4.794815754045307,10.544830532681411,1.5630999455939183,3.8333522407984404
5.095702,18.88887,4.966059173832639,10.81105024208359,1.5462436554479455,3.7068239076774896
5.262531,18.88887,5.137302593619972,11.074427904024718,1.529900276804657,3.5893128230503537
5.428827,18.88887,5.308546013407304,11.335048090526968,1.514032458041181,3.479364879374495
5.5956,19.78834,5.479789433194637,11.59298933483286,1.4986069202965355,3.536410751304597
5.762024,19.78834,5.651032852981969,11.848324779507523,1.4835938981595478,3.43426893050081
5.933542,19.78834,5.822276272769302,12.101122736841823,1.4689666715237042,3.33499619620119
6.100511,19.78834,5.993519692556634,12.3514471756495,1.4547011715512697,3.2437184360457674
6.265285,19.78834,6.164763112343967,12.599358145950411,1.4407756472686577,3.158410192034361
6.43128,20.68781,6.336006532131299,12.844912150969831,1.4271703820664567,3.216748454428978
6.599184,20.68781,6.507249951918631,13.088162474236997,1.4138674515092218,3.1349042548290815
6.765116,20.68781,6.678493371705963,13.329159468242462,1.4008505155240958,3.0580126046619154
6.930985,20.68781,6.849736791493296,13.567950810043545,1.388104639345387,2.9848297175653964
7.09746,20.68781,7.020980211280628,13.804581728336078,1.375616138627344,2.914818822508334
7.264142,21.58728,7.192223631067961,14.03909520579852,1.363372444961707,2.9717590873085906
7.430788,21.58728,7.363467050855293,14.271532159928348,1.3513619886970116,2.9051131589274246
7.594958,21.58728,7.534710470642626,14.501931605106744,1.339574096488661,2.8423172320373595
7.761158,21.58728,7.705953890429958,14.73033079822525,1.3279989014397715,2.7814509123509663
7.928006,21.58728,7.877197310217291,14.956765369872873,1.3166272640436685,2.7229141854837144
8.094244,21.58728,8.048440730004623,15.181269442800945,1.3054507024259951,2.666991506557005
8.261263,22.48675,8.219684149791956,15.40387573914686,1.2944613306203503,2.7219506266777853
8.427866,22.48675,8.390927569579288,15.62461567769808,1.2836518038061877,2.6681428015110824
8.594123,22.48675,8.56217098936662,15.843519462308697,1.2730152695992365,2.616526433238156
8.761546,22.48675,8.733414409153953,16.06061616243683,1.2625453246191565,2.566527642495971
8.927623,22.48675,8.904657828941286,16.27593378664838,1.2522359756715282,2.5187835552643745
9.09404,22.48675,9.075901248728618,16.48949934982734,1.2420816049755388,2.4726909052522315
9.261402,23.38622,9.247144668515949,16.701338934742562,1.2320769389480717,2.5251274051164176
9.433992,23.38622,9.41838808830328,16.911477748542985,1.222217020121958,2.478931506407892
9.596204,23.38622,9.589631508090614,17.119940174685915,1.2124971818329466,2.4370282249106
9.760862,23.38622,9.760874927877946,17.32674982074475,1.2029130253582545,2.395917491713335
9.927474,23.38622,9.93211834766528,17.53192956249183,1.1934603992307504,2.3557070005924974
10.094108,23.38622,10.103361767452611,17.735501584607768,1.1841353804880628,2.3168188808758536
10.260667,23.38622,10.274605187239944,17.93748741833037,1.174934257646103,2.2792105035666785
10.427329,24.28569,10.445848607027276,18.13790797632213,1.165853515212511,2.329042269597516
10.593691,24.28569,10.617092026814609,18.336783585005904,1.1568898195779145,2.292467280761729
10.760357,24.28569,10.78833544660194,18.53413401459224,1.1480400061422928,2.256959504224627
10.926989,24.28569,10.959578866389274,18.729978506998833,1.1393010675505093,2.2225418182447148
11.093961,24.28569,11.130822286176606,18.924335801842275,1.1306701429256796,2.1890909838244426
11.260126,24.28569,11.30206570596394,19.1172241606645,1.1221445080017287,2.1567867002553966
11.426626,24.28569,11.473309125751271,19.30866138954006,1.11372156606759,2.1253596643488635
11.593497,24.28569,11.644552545538604,19.498664860196623,1.105398839645177,2.094768299849476
11.759705,24.28569,11.815795965325936,19.68725152976812,1.0971739628317674,2.065161498523985
11.926405,25.18516,11.987039385113269,19.874437959289043,1.0890446742448845,2.111714301166194
12.093305,25.18516,12.1582828049006,20.060240331028215,1.081008810514336,2.0825704801127563
12.259555,25.18516,12.329526224687934,20.244674464751313,1.07306430027185,2.054329051910938
12.426234,25.18516,12.500769644475266,20.42775583299365,1.065209158593854,2.0267733570766495
12.592996,25.18516,12.6720130642626,20.60949957541714,1.057441481857475,1.9999339315282878
12.759369,25.18516,12.84325648404993,20.78992051231928,1.0497594429738313,1.9738562306646983
12.926101,25.18516,13.014499903837262,20.969033157355764,1.0421612869662509,1.9483957304681436
13.092681,25.18516,13.185743323624594,21.14685172953333,1.0346453268642175,1.9236060207989485
13.259243,26.08463,13.356986743411928,21.323390164524657,1.0272099398866532,1.9672789766353933
13.426144,26.08463,13.52823016319926,21.498662125352652,1.0198535638906672,1.9428236431845212
13.592633,26.08463,13.699473582986592,21.672681012487864,1.0125746940641414,1.919027020004145
13.759004,26.08463,13.870717002773924,21.845459973398892,1.0053718798425364,1.895822546457578
13.925784,26.08463,14.041960422561257,22.01701191159283,0.9982437220320954,1.8731175207083495
14.09222,26.08463,14.21320384234859,22.187349495179525,0.9911888701232427,1.8509950880698713
14.259161,26.08463,14.384447262135922,22.356485164990985,0.9842060197794285,1.8293243199933011
14.425511,26.08463,14.555690681923254,22.52443114228488,0.977293910487961,1.8082291850874468
14.592135,26.9841,14.726934101710588,22.6911994360587,0.9704513233605718,1.8492222008636845
14.759045,26.9841,14.89817752149792,22.856801849999293,0.9636770790724865,1.8283093519939806
14.925301,26.9841,15.069420941285252,23.02124998909064,0.9569700359297586,1.807943437790635
15.091943,26.9841,15.240664361072584,23.18455526590091,0.9503290880554812,1.7879805138410607
15.556718,26.9841,15.411907780859917,23.34672890656858,0.943753163686268,1.7345625214778593
15.723357,26.9841,15.583151200647247,23.507781956505596,0.937241223571118,1.7161793120896511
15.889895,26.9841,15.75439462043458,23.66772528583468,0.93079225946542,1.6981924676028384
16.056566,27.88357,15.925638040221914,23.826569594576352,0.9244052927134288,1.7365836505763437
16.223152,27.88357,16.096881460009246,23.98432541760043,0.918079372913096,1.7187516951083242
16.389728,27.88357,16.268124879796577,24.141003129355433,0.9118135766576044,1.7012832671780762
16.556421,27.88357,16.43936829958391,24.296612948388734,0.9056070063484118,1.6841544437653524
16.723058,27.88357,16.610611719371242,24.451164941669223,0.8994587890750052,1.6673726778918063
16.889629,27.88357,16.781855139158576,24.604669028723546,0.893368075556932,1.6509285076658582
17.056184,27.88357,16.953098558945907,24.757134985596142,0.8873340391440249,1.6348070588356693
17.22288,27.88357,17.12434197873324,24.908572448642897,0.8813558748710237,1.6189841652499466
