Time,Height,Wicking Rate,Avg Wicking Rate,Time_Uniform,Filtered Height (Uniform),Filtered Height (Raw),Wicking Rate Filtered (Spline),Wicking Rate (Spline)
0.304436,-3.0,0.0,-9.85428792915424,0.304436,-3.0,-3.0343580042150764,5.0898196554900865,3.0499587806933084
0.512445,-2.095746,0.0,-4.089699382372743,0.4756115323163388,-2.255867968216863,-2.1605498642977627,5.120092576280186,5.271126624295195
0.677666,-1.191492,0.0,-1.7582289800580226,0.6467870646326777,-1.3604923136504603,-1.281347097024189,5.152850011327285,5.439356176508462
0.845481,-0.2872379999999999,0.0,-0.3397332406050519,0.8179625969490165,-0.4355181062626346,-0.39640367052848396,5.186702927101648,5.559858531814044
1.004017,0.617016,0.0,0.6145473632418575,0.9891381292653554,0.5321502384235425,0.49427070289230374,5.219583698502949,5.619513478444323
1.170503,1.5212700000000003,0.0,1.29967202134467,1.1603136615816942,1.4659275086066896,1.3904039966616721,5.250319848005748,5.38332169296546
1.336916,2.4255240000000002,0.0,1.8142680617181635,1.3314891938980329,2.396035852289616,2.291562948898914,5.278245836183526,5.442857710345937
1.503595,3.329778,0.0,2.2145444750747374,1.5026647262143717,3.32473115071635,3.197251116267111,5.30326319946482,5.4220494951767
1.670137,4.234032,0.0,2.535140530387627,1.6738402585307106,4.254135054098005,4.106994181654844,5.32571180295606,5.4330774467404535
1.836713,5.138286000000001,0.0,2.797544308773336,1.8450157908470495,5.183270013388904,5.02040443983453,5.346236379690898,5.419828094565818
2.003613,6.042540000000001,0.0,3.015821917705665,2.0161913231633886,6.110917192974635,5.937218572625136,5.365616072096357,5.426882803935543
2.169955,6.946794000000001,0.0,3.2013539451278947,2.1873668554797274,7.041270753744123,6.857305373860687,5.384584946449935,5.43486411493398
2.336607,7.8510480000000005,0.0,3.360020748033367,2.358542387796066,7.9699595628703035,7.780642796420415,5.403656080273259,5.4200277079671615
2.503413,8.755302,0.0,3.4973462229364474,2.5297179201124047,8.8981328117292,8.707266367255698,5.4229652400183594,5.426008520256635
