Time,Height,Wicking Rate,Avg Wicking Rate,Time_Uniform,Filtered Height (Uniform),Filtered Height (Raw),Wicking Rate Filtered (Spline),Wicking Rate (Spline)
0.282999,2.89947,0.0,10.2455132350291,0.282999,2.89947,2.8617389414440977,3.1449262021290143,5.310504280476682
0.451827,3.79894,0.0,8.4079526013275,0.45438369794209976,3.812725438696914,3.402756951806434,3.1736502308567203,5.352524350831077
0.618646,4.69841,0.0,7.594666416658315,0.6257683958841995,4.73685928505129,3.951311699155922,3.2328773095224914,5.438648850417429
0.785265,5.59788,0.0,7.128650837615328,0.7971530938262992,5.663162325294521,4.512520198007584,3.320668966029531,5.26371239301652
0.949061,6.49735,0.0,6.846082601645205,0.9685377917683989,6.602494703341346,5.090946904523777,3.4331683700913853,6.171924978901324
1.115677,7.39682,0.0,6.6298937775001185,1.1399224897104987,7.39682,5.690473774009395,3.566122245833783,2.6986705403940414
1.28229,7.39682,0.0,5.768445515445024,1.3113071876525983,7.39682,6.31419426450572,3.7146514699995206,0.7713070393588142
1.448895,7.39682,0.0,5.105145645474654,1.4826918855946982,7.39682,6.96433177996631,3.8734937327019474,0.3866131256251383
1.615629,7.39682,0.0,4.578291179472515,1.6540765835367979,7.39682,7.642182684753487,4.037120206566204,0.7751469491615706
1.782091,7.39682,0.0,4.15064101664842,1.8254612814788975,7.630972453642957,8.348083823412766,4.199885269743405,2.712076310937576
1.948693,8.296289999999999,0.0,4.257361215953462,1.9968459794209974,8.556309093129165,9.081404390437497,4.35616613077187,6.119676076010366
2.115266,9.19576,0.0,4.3473303121215014,2.168230677363097,9.481605403613168,9.8405619496604,4.500503566691012,5.205311107810337
2.28193,10.09523,0.0,4.423987589452788,2.339615375305197,10.406632911552359,10.623062336595101,4.627740131001027,5.449182016926211
2.448551,10.9947,0.0,4.490288337878198,2.5110000732472963,11.331760113493823,11.42556303070647,4.733155471225378,5.383554820189693
2.615201,11.894169999999999,0.0,4.5480901850374025,2.6823847711893967,12.257078967190504,12.243959312769638,4.812596520724861,5.403571588503189
2.781716,12.79364,0.0,4.599189852594586,2.853769469131496,13.182608514462292,13.073492098321989,4.862599683739657,5.399443652957501
2.948336,13.69311,0.0,4.644351932751221,3.0251541670735955,14.107837269515844,13.908875756739013,4.880501170091641,5.398856869004429
3.114941,14.59258,0.0,4.6847051035637595,3.196538865015696,15.033006245285895,14.744443504680937,4.864530939503995,5.3965763517125644
3.281586,15.492049999999999,0.0,4.720903246174259,3.3679235629577953,15.958198730475994,15.574307142410829,4.813885284346601,5.403856511836305
3.448181,16.39152,0.0,4.753671573504987,3.5393082608998947,16.88309523216483,16.392527040193354,4.728773041170336,5.377991044860314
3.614923,17.29099,0.0,4.783224981555624,3.710692958841995,17.80844451141993,17.19328745154424,4.610430827906368,5.464782585157515
3.781396,18.19046,0.0,4.810514423773655,3.8820776567840944,18.733982748744662,17.971071509449185,4.461103577831414,5.155519742523109
3.948013,19.08993,0.0,4.8353260234958695,4.053462354726194,19.659170327539233,18.720829729548996,4.283987959872658,6.318094797544276
4.114636,19.9894,0.0,4.858121107189069,4.224847052668294,19.9894,19.438135571854296,4.083137972534847,1.9620327864104867
4.281237,19.9894,0.0,4.6690711119239605,4.396231750610394,20.610068036792864,20.119321656472295,3.8633339727214446,2.0276911274575866
4.447887,20.88887,0.0,4.696358068449132,4.567616448552494,21.535263569796474,20.761590625429914,3.629918518168722,6.117512094349831
4.614493,21.788339999999998,0.0,4.721719157445898,4.739001146494593,22.46070626698301,21.36309540368636,3.388604510718627,5.890185773448403
