Time,Height,Time_Uniform,Height_Model,Wicking_Rate,Avg Wicking Rate
0.284049,0.89947,0.0,0.0,0.0,3.166601537058747
0.451184,1.79894,0.1720143286852589,2.99955710876172,10.186880508179772,3.9871537997801343
0.61757,2.69841,0.3440286573705179,4.535421698755698,8.034102909835642,4.369399420308629
0.782836,3.59788,0.5160429860557769,5.825617467948056,7.0618094806880185,4.595956241153958
0.94863,4.49735,0.6880573147410358,6.985903212396485,6.46899837916272,4.740889493269241
1.115253,5.39682,0.8600716434262947,8.061157510137399,6.054260118931856,4.839099289578239
1.281794,6.29629,1.0320859721115538,9.074428410450782,5.739879716261012,4.912091958614254
1.448213,7.19576,1.2041003007968127,10.03943340092335,5.488674090312635,4.968716618342744
1.614813,8.09523,1.3761146294820716,10.965132042825186,5.280321081661768,5.013106780785144
1.781424,8.9947,1.5481289581673303,11.857766515071184,5.1026513339243085,5.049162916857526
1.948024,9.89417,1.7201432868525894,12.721898216035834,4.947873226757851,5.079080134536331
2.114643,10.79364,1.8921576155378488,13.560985267645371,4.810735620105208,5.10423745284665
2.281548,11.69311,2.0641719442231077,14.377727390953456,4.68755287694891,5.125077359757499
2.447858,12.59258,2.2361862729083666,15.174283362265015,4.57565138498381,5.144326182319399
2.614484,13.49205,2.4082006015936255,15.952414261558111,4.473037875782685,5.160502034053374
2.781075,14.39152,2.5802149302788844,16.713581301233233,4.378191614571561,5.174804706813013
2.947688,15.29099,2.7522292589641433,17.459014687700595,4.289929256168081,5.187451996276404
3.114329,16.19046,2.924243587649402,18.18976335718207,4.2073141284457805,5.198699302482172
3.28094,17.08993,3.096257916334661,18.90673170397384,4.129593653961736,5.208851731515967
3.449131,17.9894,3.26827224501992,19.610707232676138,4.05615514452345,5.215632575277657
3.614282,18.88887,3.440286573705179,20.302381734251384,3.986493916023432,5.226174935990053
3.780898,19.78834,3.612300902390438,20.982367748934717,3.920189860817984,5.233767216148122
3.947583,20.68781,3.784315231075697,21.65121153839998,3.8568899481242456,5.240626986183698
4.114079,21.58728,3.956329559760956,22.30940343167491,3.796294957512093,5.247171967285995
4.280971,22.48675,4.128343888446215,22.957386167119022,3.738149286210592,5.252721870809216
4.44733,23.38622,4.300358217131474,23.5955616856619,3.6822330224878934,5.2584854283356535
4.613956,24.28569,4.472372545816733,24.224296713120054,3.628355712776446,5.2635287375952435
4.78044,25.18516,4.644386874501992,24.843927385629662,3.576351410774492,5.268376969483981
4.946988,26.08463,4.816401203187251,25.4547631115486,3.5260747081034034,5.27283065978733
5.117098,26.9841,4.988415531872509,26.057089818633877,3.477397524509901,5.273320933075739
5.283838,27.88357,5.160429860557769,26.65117270219134,3.430206491597124,5.277143243225852
5.449436,28.78304,5.332444189243027,27.23725856500568,3.384400804577643,5.28183834070168
5.616449,29.68251,5.5044585179282866,27.81557782095043,3.339890446200654,5.2849246917402795
5.782119,30.58198,5.676472846613546,28.386346219671672,3.2965947089637027,5.2890609826605095
5.948787,31.48145,5.848487175298804,28.949766338509285,3.25444095814496,5.292078872549983
6.115297,31.48145,6.020501503984064,29.506028879050376,3.2133635905984645,5.147983818283887
6.281888,32.38092,6.192515832669322,30.05531379880898,3.1733031537103034,5.154647774681752
6.448608,32.38092,6.3645301613545815,30.597791303053725,3.134205596181564,5.021381358581573
6.615257,33.28039,6.53654449003984,31.13362271743586,3.0960216279347232,5.030853676584296
6.781489,33.28039,6.708558818725099,31.66296125855845,3.058706170835483,4.90753431879046
6.948169,34.17986,6.880573147410358,32.18595271678677,3.022217885377255,4.919261462983989
7.114948,34.17986,7.052587476095617,32.70273606328953,2.9865187612097666,4.80395078080683
7.281245,35.07933,7.224601804780876,33.21344399141019,2.951573761570721,4.81776536842257
7.448433,35.07933,7.396616133466135,33.71820340091317,2.917350513423857,4.709625501095331
7.614699,35.9788,7.568630462151394,34.21713583236496,2.8838190365121736,4.724914274352801
7.781372,35.9788,7.740644790836653,34.71035785784301,2.850951505673482,4.623709032288907
7.948079,35.9788,7.912659119521912,35.197981433276006,2.818722041692319,4.526729037293162
8.114449,36.87827,8.084673448207171,35.68011421697261,2.7871065267205517,4.544765762900229
8.281731,36.87827,8.25668777689243,36.156859858269485,2.756082440922291,4.45296641487148
8.44813,37.77774,8.428702105577688,36.62831825969921,2.725628717513337,4.4717280628967595
8.614388,37.77774,8.600716434262948,37.09458581563003,2.695725613792036,4.385423549531319
8.781019,37.77774,8.772730762948207,37.55575562994736,2.666354596113608,4.302204561907906
8.948026,38.67721,8.944745091633466,38.0119177150211,2.6374982370568514,4.32242932687053
9.114111,38.67721,9.116759420318724,38.4631591739235,2.609140123281132,4.243662382430936
9.280803,38.67721,9.288773749003983,38.90956436762259,2.581264772781163,4.16744219223272
9.447745,39.57668,9.460788077689244,39.35121506866943,2.553857560424179,4.189008064887442
9.613664,39.57668,9.632802406374502,39.788190602718856,2.5269046508041466,4.116711380801326
9.780233,40.47615,9.80481673505976,40.22056797906861,2.5003929375752634,4.138567046408812
9.948412,40.47615,9.97683106374502,40.64842201126741,2.474309988535791,4.068604114907988
10.11463,40.47615,10.148845392430278,41.07182542872488,2.448643995826341,4.00174301976444
10.28172,41.37562,10.320859721115538,41.490848980154475,2.4233837306865422,4.0241924502904185
10.446771,41.37562,10.492874049800797,41.90556152959052,2.3985185022826756,3.9606132842387374
10.614271,41.37562,10.664888378486054,42.31603014564215,2.3740381201780743,3.898112267907989
10.780262,42.27509,10.836902707171314,42.72232018457749,2.349932860069245,3.9215271391363213
10.946798,42.27509,11.008917035856571,43.12449536777065,2.326193432455045,3.86186810060805
11.113748,42.27509,11.180931364541832,43.522617853990525,2.3028109539447694,3.8038553690438186
11.279741,43.17456,11.352945693227092,43.91674830696196,2.2797769209445553,3.827619800844718
11.4466,43.17456,11.52496002191235,44.30694595858855,2.2570831854907967,3.7718239477224675
