Time,Height,Wicking Rate,Avg Wicking Rate,Time_Uniform,Filtered Height (Uniform),Filtered Height (Raw),Wicking Rate (Spline),Wicking Rate Filtered (Spline)
0.292204,0.89947,0.0,3.0782261707574157,0.292204,0.89947,1.0126313829100926,4.983580625091169,5.386167773878674
0.465225,1.79894,0.0,3.866817131495513,0.5022486659905342,1.9983142290263831,2.136244782274139,5.3525061587544505,5.316061083400945
0.632256,2.69841,0.0,4.267907303370786,0.7122933319810683,3.130449530441583,3.2472905061134716,5.3606027999737815,5.266501078555128
0.798887,3.59788,0.0,4.5036156552804085,0.9223379979716024,4.294499609567922,4.35016655897209,5.553957981629552,5.238662978281078
0.958286,4.49735,0.0,4.6931187557785465,1.1323826639621366,5.437635469779303,5.449578129513095,5.558059219187321,5.233408537136597
1.124821,5.39682,0.0,4.797936738378818,1.3424273299526708,6.571466085588489,6.550161795296119,5.357292358663249,5.249522979137618
1.291461,6.29629,0.0,4.875323374070143,1.552471995943205,7.705518493994769,7.656169598561988,5.409039064080093,5.284531509938242
1.458055,7.19576,0.0,4.935177342418496,1.7625166619337391,8.839105659299339,8.77120215995628,5.3971195122309865,5.334751845508234
1.624654,8.09523,0.0,4.982740940532569,1.9725613279242733,9.973631567288173,9.897976900354552,5.397040830500371,5.395469415913102
1.791353,8.9947,0.0,5.021176730661126,2.1826059939148075,11.10764324611514,11.038119524492418,5.399076324684101,5.4610177000043585
1.957843,9.894169999999999,0.0,5.053607464949947,2.392650659905341,12.241598791462712,12.191972985022106,5.401623501108576,5.52486359098553
2.124448,10.79364,0.0,5.080679781289069,2.6026953258958754,13.375850865158897,13.358426737507802,5.3985261293455835,5.57972507564601
2.291043,11.69311,0.0,5.103836986036491,2.8127399918864096,14.509073231812753,14.534778559391683,5.398149695141045,5.617770061429643
2.45767,12.59258,0.0,5.123787978044246,3.0227846578769437,15.643507959282674,15.716649708747198,5.40061472887919,5.630930324505203
2.62421,13.492049999999999,0.0,5.141375880741251,3.232829323867478,16.777446260564496,16.897979880422373,5.396482388965607,5.611348445639236
2.790978,14.39152,0.0,5.156443368596958,3.442873989858012,17.911565504785262,18.071129601664353,5.396864593075793,5.551950362282311
2.957492,15.29099,0.0,5.170255743717989,3.6529186558485462,19.045388494802747,19.227113146969053,5.402000084317903,5.447106911557335
3.12409,16.19046,0.0,5.182456331283671,3.8629633218390804,20.179094877562328,20.35597416241131,5.397574586513361,5.293317543413375
3.290717,17.08993,0.0,5.193375790139353,4.073007987829615,21.313415502531043,21.44729929088274,5.399149032513686,5.089823220667036
3.457288,17.9894,0.0,5.203327000816825,4.283052653820149,22.447269947201843,22.490843610071174,5.3999027154429005,4.839039113203705
3.62391,18.88887,0.0,5.212290040315571,4.4930973198106825,23.581472268340224,23.47721836188263,5.395799219867697,4.546697594857482
3.790615,19.788339999999998,0.0,5.220350787405209,4.703141985801217,24.71518150842321,24.39857042629711,5.398439305387988,4.221615338627761
3.957152,20.68781,0.0,5.227954346964686,4.913186651791751,25.849011364407893,25.24916992131892,5.400252581324723,3.87505182208914
4.123725,21.58728,0.0,5.2348980594001775,5.1232313177822855,26.08463,26.0258237548173,5.403181400645728,3.5197101324363427
4.290367,22.48675,0.0,5.2412182920482095,5.333275983772819,26.984099999999998,26.728053468830584,5.3794395930661345,3.168522833585776
4.456937,23.38622,0.0,5.247150677696364,5.543320649763354,27.443112560085915,27.35801283717567,5.471759380467404,2.833424138917325
4.623517,24.28569,0.0,5.252644253281647,5.7533653157538875,27.88357,27.92016390997202,5.132254830441132,2.5243083093129566
4.790273,25.18516,0.0,5.257562564805806,5.963409981744422,27.912160321209257,28.420767542618083,6.380380054494827,2.2483242051623082
4.956812,26.08463,0.0,5.262380336393633,6.173454647734956,28.78304,28.867268190938233,1.7331097392423782,2.009578859688329
5.125121,26.08463,0.0,5.089563739080502,6.3834993137254905,29.279710669798924,29.267658717540368,2.9576077426516547,1.8092329781549135
5.291691,26.984099999999998,0.0,5.099334031408863,6.593543979716024,29.68251,29.629899006049847,2.7153391302317313,1.6458983947876757
5.45824,26.984099999999998,0.0,4.943736442516268,6.803588645706559,29.68251,29.96144011032599,2.3799068238429752,1.5162285883778746
5.624962,27.88357,0.0,4.95711259916067,7.013633311697093,29.983738052053365,30.268885109733976,3.9423554352064096,1.415619013308976
5.791636,27.88357,0.0,4.814454844883207,7.223677977687626,30.58198,30.557802827639065,1.9659465425307874,1.3389510841443415
5.958101,27.88357,0.0,4.679942485030045,7.433722643678161,30.58198,30.83269536457485,3.921443854126576,1.2812960874110908
6.125125,28.78304,0.0,4.699175935184996,7.643767309668695,31.48145,31.097100135268906,2.4162579036433245,1.2384735101700766
6.291359,28.78304,0.0,4.57501153566344,7.853811975659229,31.48145,31.353785525094988,2.5343366829517517,1.2073720250025823
6.458225,29.68251,0.0,4.596078643899833,8.063856641649764,31.48145,31.604985099197325,3.5890579727644476,1.1859949928114424
6.624597,29.68251,0.0,4.480651426796227,8.273901307640298,32.28917342226839,31.852614227887347,0.7385698526169814,1.1732569592797903
6.791349,29.68251,0.0,4.370635347999344,8.483945973630831,32.38092,32.098423877337225,0.6396022642515569,1.1686035758092868
6.957955,29.68251,0.0,4.265981886919361,8.693990639621365,32.38092,32.34406457895904,3.2952122437982396,1.1715550828049193
7.124211,30.58198,0.0,4.292683077466403,8.9040353056119,32.38092,32.59105703227608,3.701706399509833,1.1812960432066355
7.291073,30.58198,0.0,4.194441613737786,9.114079971602434,32.38092,32.84069220387712,1.8514226036804473,1.1964324168230505
7.457997,30.58198,0.0,4.100562121438236,9.324124637592968,33.28039,33.09390435451328,3.7039844383525558,1.2149798862515682
7.624128,31.48145,0.0,4.129186970627985,9.534169303583502,33.28039,33.35116428719267,3.3045460618666533,1.234555630252366
7.790883,31.48145,0.0,4.0408064143692055,9.744213969574037,33.28039,33.612426660123106,0.6572328068292023,1.252683905032106
7.957445,31.48145,0.0,3.95622589914225,9.954258635564571,34.166538388372125,33.87714506876043,0.6733115421357945,1.2671220606736744
8.123992,31.48145,0.0,3.8751207534423964,10.164303301555105,34.17986,34.144351541493826,3.3502985150130717,1.2761388174756152
8.290929,32.38092,0.0,3.9055840425120034,10.374347967545638,34.17986,34.41278560481783,3.4222451003274124,1.2787031282383767
8.457114,32.38092,0.0,3.8288380646163693,10.584392633536172,34.86887334249097,34.68105196742028,0.901927871132694,1.274567192435573
8.623801,32.38092,0.0,3.7548315412194695,10.794437299526708,35.07933,34.94778458298399,0.18057766706435763,1.264245397062765
8.790911,32.38092,0.0,3.683454422414242,11.004481965517241,35.07933,35.21179612020022,0.18098951615195863,1.2488982201030319
8.956978,32.38092,0.0,3.615161274260136,11.214526631507775,35.57296877937514,35.47219440710369,0.9011494194380907,1.2301375566650927
9.123567,32.38092,0.0,3.549151335217904,11.424571297498309,35.9788,35.72845201676009,3.4287044388045587,1.2097805489848568
9.290419,33.28039,0.0,3.582227023345233,11.634615963488844,35.9788,35.98042176020162,3.349404511287637,1.1895870841082765
9.456827,33.28039,0.0,3.5191920080593624,11.844660629479378,35.9788,36.22829906425031,0.6699321707364448,1.1710247579230053
9.623864,33.28039,0.0,3.4581110040624017,12.054705295469912,36.48371613495089,36.47254199485066,0.6772716216138753,1.1551079599018912
9.790064,33.28039,0.0,3.3994047434214933,12.264749961460446,36.87827,36.71376787485454,3.368874282463678,1.1423373407469788
9.956727,34.17986,0.0,3.432840932567499,12.474794627450981,36.87827,36.95264744096548,3.375707411588038,1.1327334158141478
10.123577,34.17986,0.0,3.3762631528361964,12.684839293441515,36.87827,37.18981421119899,0.6740764496139589,1.1259447832600584
10.28992,34.17986,0.0,3.3216837448687646,12.894883959432049,37.426180566739774,37.42580290203105,0.6732405694536836,1.1214138022041744
10.45668,34.17986,0.0,3.2687105276244464,13.104928625422582,37.77774,37.66102638156721,3.3721039992730804,1.1185709667438095
10.623402,35.07933,0.0,3.302080632927192,13.314973291413118,37.77774,37.89579220693654,3.3712945294929026,1.1170074979206466
10.790032,35.07933,0.0,3.251086743764986,13.525017957403652,38.12959111148619,38.13034847387465,0.675545311072486,1.1165746270262582
10.956749,35.07933,0.0,3.201618472778741,13.735062623394185,38.67721,38.36494006803694,0.6701680636938706,1.1173810914729934
11.123148,35.07933,0.0,3.1537232085736875,13.945107289384719,38.67721,38.599853445672046,3.3523724252958322,1.1196886011151006
11.289651,35.9788,0.0,3.1868832792085424,14.155151955375253,38.67721,38.83543094979226,3.4632813892688956,1.1237335310172158
11.45643,35.9788,0.0,3.140489663883077,14.365196621365788,39.08965397249175,39.07204434284353,0.9892978340863395,1.1295270718801333
11.622868,35.9788,0.0,3.095518249024251,14.575241287356322,39.576679999999996,39.310028894125374,0.4969455680532765,1.1366870542854164
11.794818,35.9788,0.0,3.050390434172024,14.785285953346856,39.576679999999996,39.549588711163835,0.9986365565176112,1.1443364042333517
11.961403,35.9788,0.0,3.007908018816856,14.99533061933739,39.576679999999996,39.79069010067344,3.45078904255439,1.1510958139252734
12.127614,36.87827,0.0,3.0408512342163925,15.205375285327925,39.73956091054689,40.032966071425356,3.443579150063856,1.155202769830619
12.294031,36.87827,0.0,2.999689036085886,15.415419951318459,40.14555310937854,40.27566052041484,0.982951025259304,1.1547686896007463
12.459936,36.87827,0.0,2.9597479473409813,15.625464617308992,40.47615,40.517637605402726,0.49277118528216246,1.1481291659579926
12.626666,36.87827,0.0,2.9206656769094868,15.835509283299526,40.720720676471515,40.757466194377145,0.9881466019178472,1.134189189472647
12.793409,36.87827,0.0,2.8825991571128537,16.045553949290063,41.37562,40.993566874217315,3.4599308931517916,1.1126578257656223
12.959994,37.77774,0.0,2.9149504235881594,16.255598615280597,41.37562,41.22439059439463,3.352440935663931,1.0841096297635473
13.126596,37.77774,0.0,2.8779540407886404,16.46564328127113,41.37562,41.448591935239094,0.6706816938519906,1.0498793688831833
13.293183,37.77774,0.0,2.8418882069102636,16.675687947261665,41.37562,41.66516804901096,0.6695330930225937,1.0118546562286128
13.459805,37.77774,0.0,2.8067078237760503,16.8857326132522,42.09385258844533,41.87354997145828,3.3492363148320754,0.9722401334643995
13.626515,38.67721,0.0,2.838378705046742,17.095777279242732,42.27509,42.07364495728121,3.455655274861738,0.9333283194946714
13.79321,38.67721,0.0,2.8040760635124093,17.305821945233266,42.27509,42.26583161899257,0.9861390144868527,0.8972784293612298
13.95983,38.67721,0.0,2.770607521724835,17.515866611223803,42.27509,42.45091010597808,0.48956818938725716,0.8659140098719572
14.121707,38.67721,0.0,2.7388480726869635,17.725911277214337,42.27509,42.63001459644946,0.9723330798835879,0.8405731591518587
14.288883,38.67721,0.0,2.706804303737388,17.93595594320487,43.17456,42.8045018805605,3.4473963703358907,0.8220302578705847
14.45531,39.576679999999996,0.0,2.737864494085564,18.146000609195404,43.17456,42.97582927212608,3.4230574520313533,0.8104649264870989
14.621476,39.576679999999996,0.0,2.7067499888520143,18.356045275185938,43.17456,43.14542766826337,0.935135254147216,0.8054427482752704
14.788889,39.576679999999996,0.0,2.6761090708030872,18.56608994117647,43.17456,43.31457190651528,0.3058306071604395,0.8059155201318696
14.955269,39.576679999999996,0.0,2.6463368863508907,18.776134607167005,43.17456,43.484257588752904,0.2901831287104065,0.8102932900449936
15.121107,39.576679999999996,0.0,2.617313666254726,18.98617927315754,43.51525105535388,43.65510439493418,0.8540075795020727,0.8166266653695557
