Time,Height,Time_Uniform,Height_Model,Wicking_Rate,Avg Wicking Rate,Modeled Avg Wicking Rate
0.277601,0.89947,0.0,0.0,0.0,3.240154034027255,0.0
0.477632,1.79894,0.1711438631143776,1.7206239826058418,5.674149730803916,3.766372437357631,10.053670352502953
0.646632,1.79894,0.3422877262287552,2.562351319280406,4.382161405943276,2.7820151183362407,7.48595734796507
0.814539,2.69841,0.5134315893431328,3.257935038904653,3.8038324786742033,3.312806384961309,6.345412137715846
0.976944,2.69841,0.6845754524575104,3.8769921231163096,3.454821192697529,2.762092811870486,5.663352533601025
1.143649,2.69841,0.855719315571888,4.446497462534681,3.21334273922612,2.359473929501097,5.196210231111857
1.310266,2.69841,1.0268631786862656,4.980292760663821,3.0324069412802945,2.0594367861182388,4.850006178072761
1.476841,2.69841,1.1980070418006432,5.486606666596599,2.889532121874582,1.82714997755344,4.579778311110803
1.643805,2.69841,1.3691509049150208,5.970805725610668,2.7724319141775,1.6415633241169116,4.360955176070426
1.810025,2.69841,1.5402947680293984,6.436621991865474,2.673749702623533,1.4908136627947128,4.178824810331774
1.976608,2.69841,1.711438631143776,6.886776656964281,2.588775944234304,1.3651720523239814,4.023969385546569
2.143329,2.69841,1.8825824942581533,7.323327479619191,2.514337230989588,1.25898077243391,3.890043332472932
2.309871,3.59788,2.0537263573725317,7.747876263133077,2.448206748246456,1.5576107929836776,3.772594257905639
2.476479,4.49735,2.224870220486909,8.16169967579059,2.3887696019344182,1.8160258980593007,3.668393599157625
2.643075,4.49735,2.3960140836012864,8.565835427013669,2.3348222605785063,1.7015597362920083,3.575035508196572
2.809702,5.39682,2.567157946715664,8.961141118520521,2.28544689846283,1.9207802108551013,3.490685538061694
2.976232,6.29629,2.7383018098300416,9.34833566852416,2.2399296780169093,2.1155239242102093,3.4139172077253175
3.142944,7.19576,2.909445672944419,9.728029229665562,2.1977058962991918,2.2894967266359183,3.3436022951480635
3.309511,8.09523,3.0805895360587967,10.100745281494392,2.1583221458491915,2.446050186870508,3.278835159070542
3.476272,8.9947,3.2517333991731743,10.466937262740348,2.121409585146375,2.587455757201968,3.21887928001779
3.643003,9.89417,3.422877262287552,10.827001307483702,2.0866646587921656,2.715937922642392,3.163128700749229
3.809268,10.79364,3.5940211254019294,11.18128614588176,2.0538349317326663,2.833520770919767,3.111079694789308
3.975891,11.69311,3.765164988516307,11.530100904863936,2.022708507987508,2.941003664335869,3.0623096039696955
4.142594,12.59258,3.936308851630685,11.873721328884876,1.9931060090113808,3.039781354388096,3.0164607952361204
4.309131,12.59258,4.107452714745063,12.212394795126984,1.964874410703461,2.9223015034817927,2.9732283347502815
4.475748,13.49205,4.27859657785944,12.546344397004294,1.9378822506459512,3.014479367471091,2.9323504024492926
4.642341,13.49205,4.449740440973818,12.875772299202954,1.912015859500748,2.906303091479062,2.893600754920688
4.809107,14.39152,4.620884304088195,13.200862517089664,1.8871763675788733,2.992555582564497,2.8567827386222544
4.975768,14.39152,4.792028167202573,13.521783236811652,1.8632773049267564,2.892321346172088,2.8217244901348777
5.144247,15.29099,4.96317203031695,13.83868876561106,1.840242660685468,2.97244475236123,2.7882750549606308
5.310876,15.29099,5.134315893431328,14.151721181958123,1.8180053013376591,2.879184149658173,2.756301224095573
5.476972,16.19046,5.305459756545705,14.461011740133786,1.796505671951631,2.956096909021993,2.7256849365961653
5.643817,16.19046,5.476603619660083,14.766682072517089,1.775690722466102,2.868707472265667,2.6963211322264025
5.810302,16.19046,5.647747482774461,15.068845224105658,1.755513014336649,2.7865092038245174,2.6681159648276402
5.97693,17.08993,5.818891345888838,15.367606547041472,1.7359299727969792,2.859315735670319,2.6409853069174405
6.144035,17.08993,5.990035209003216,15.663064477638653,1.7169032574899858,2.781548282195658,2.614853491027325
6.310205,17.9894,6.161179072117593,15.955311214258307,1.6983982299410552,2.850842405278434,2.5896522447243977
6.476696,17.9894,6.332322935231971,16.244433311083487,1.6803835007407597,2.7775581870756327,2.5653197850511087
6.643717,17.9894,6.5034667983463486,16.530512200218446,1.662830542708896,2.707731229370547,2.5418000449270686
6.809868,18.88887,6.674610661460727,16.81362465242392,1.6457133589695605,2.773749799555586,2.519042009372317
6.976792,18.88887,6.845754524575104,17.093843185091053,1.6290081969562096,2.707386145380284,2.496999143589949
7.143256,18.88887,7.016898387689482,17.371236424666726,1.6126933010190023,2.644294142615077,2.475628898252681
7.309792,19.78834,7.188042250803859,17.64586942960556,1.5967486976233625,2.707100284112052,2.4548922799712503
7.476373,19.78834,7.359186113918237,17.917803978989,1.5811560081834986,2.646783406873895,2.4347534770321304
7.643078,19.78834,7.530329977032614,18.187098831178595,1.5658982854244394,2.5890537817355783,2.4151795321916776
7.809468,20.68781,7.701473840146992,18.453809956229023,1.5509598698544993,2.649067772606277,2.3961400556905366
7.976506,20.68781,7.872617703261369,18.71799074525086,1.536326263490538,2.5935929841963388,2.377606972773059
8.142887,20.68781,8.043761566375746,18.97969219946459,1.5219840184369056,2.540598930084625,2.3595543009134983
8.309365,21.58728,8.214905429490125,19.238963101310084,1.5079206382958408,2.5979458117437373,2.3419579527045378
8.476375,21.58728,8.386049292604502,19.495850169657057,1.4941244906982685,2.546758490510389,2.324795560986039
8.642625,21.58728,8.55719315571888,19.750398200892107,1.480584729501912,2.497768907016097,2.3080463233078556
8.809541,21.58728,8.728337018833258,20.00265019742801,1.4672912254184258,2.4504432183243146,2.2916908632501247
8.976117,22.48675,8.899480881947635,20.25264748498489,1.4542345040107312,2.505175678971208,2.275711106483397
9.142326,22.48675,9.070624745062013,20.500429819825012,1.4414056901523016,2.4596311704483083,2.260090169752123
9.309109,22.48675,9.24176860817639,20.746035486978457,1.428796458166904,2.415564153347007,2.2448122612184855
9.476186,23.38622,9.412912471290769,20.989501390372943,1.4163989869743532,2.4678937285528164,2.2298625908177288
9.64265,23.38622,9.584056334405146,21.230863135673225,1.4042059196585923,2.425289728446019,2.215227289457597
9.809129,23.38622,9.755200197519525,21.47015510654262,1.3922103269515609,2.384128091291286,2.200893336048796
9.97576,23.38622,9.9263440606339,21.70741053495827,1.380405674192086,2.3443045943366725,2.1868484914849935
10.142345,24.28569,10.09748792374828,21.942661566141204,1.368785791375335,2.394484707432058,2.173081238803392
10.308905,24.28569,10.268631786862656,22.175939318600705,1.357344845956601,2.355797245197235,2.1595807288534643
10.475599,24.28569,10.439775649977031,22.407273939738648,1.34607731811473,2.318310389697047,2.1463367308844368
10.641874,24.28569,10.61091951309141,22.6366946574121,1.334977978216278,2.282087722519549,2.133339587533736
10.811118,25.18516,10.78206337620579,22.864229827810902,1.3240418662524494,2.3295611055211864,2.1205801737604726
10.978754,25.18516,10.953207239320166,23.089906979970305,1.3132642730476696,2.2939907388397627,2.1080498593217003
11.142718,25.18516,11.124351102434543,23.313752857206364,1.302640723061966,2.260234890625429,2.09574047443578
11.30883,25.18516,11.295494965548922,23.53579345573304,1.2921669586295976,2.22703498063018,2.083644278317757
11.475485,26.08463,11.4666388286633,23.756054060694705,1.2818389254940974,2.27307429707764,2.0717539303070573
11.642159,26.08463,11.637782691777677,23.97455927982497,1.2716527595153515,2.240532018159175,2.0600624633387827
11.808581,26.08463,11.808926554892054,24.19133307492285,1.2616047744379322,2.20895550447594,2.0485632595370125
11.975298,26.08463,11.980070418006433,24.40639879131927,1.251691450621787,2.1782029975370967,2.0372500277323633
12.141956,26.08463,12.15121428112081,24.619779185490763,1.241909424646905,2.148305429537053,2.0261167827269913
12.308603,26.9841,12.322358144235189,24.831496450963307,1.232255479712776,2.192295908804598,2.0151578261487484
12.480373,26.9841,12.493502007349564,25.04157224263583,1.2227265367616755,2.16212287885947,2.0043677287524826
12.641743,26.9841,12.664645870463945,25.250027699642,1.2133196462619684,2.134523696613672,1.9937413140409441
12.807925,26.9841,12.83578973357832,25.456883466857995,1.204031980594077,2.106828389454186,1.9832736430905376
12.974721,26.9841,13.006933596692695,25.662159715155177,1.1948608269874024,2.0797441424752026,1.9729600004785415
13.141411,27.88357,13.178077459807074,25.865876160487566,1.1858035809615637,2.1218094464894217,1.9627958812184916
13.308011,27.88357,13.349221322921451,26.068052081897104,1.1768577402298015,2.0952469907035693,1.9527769786194662
13.474441,27.88357,13.52036518603583,26.26870633851224,1.1680208990264245,2.06936747876962,1.9428991729929908
13.641141,27.88357,13.691509049150207,26.46785738560952,1.1592907428237402,2.044079010692727,1.9331585211384938
13.807718,27.88357,13.862652912264586,26.665523289802067,1.1506650434071508,2.019419139353802,1.9235512465446283
13.974198,28.78304,14.033796775378963,26.86172174341381,1.142141654279937,2.0597275063656606,1.9140737302495565
14.141086,28.78304,14.20494063849334,27.05647007809364,1.1337185063718531,2.035419344737738,1.9047225023084227
14.307668,28.78304,14.376084501607718,27.24978527771934,1.1253936040279744,2.011721267225379,1.8954942338208933
14.474303,28.78304,14.547228364722097,27.44168399063758,1.1171650212563076,1.988561383577503,1.8863857294758164
14.640751,28.78304,14.718372227836474,27.63218254128234,1.1090308982145738,1.965953795676192,1.8773939205737924
