Time,Height,Wicking Rate,Avg Wicking Rate,Time_Uniform,Filtered Height (Uniform),Filtered Height (Raw),Wicking Rate (Spline),Wicking Rate Filtered (Spline)
7.614697,20.68781,0.0,2.716826421327073,7.816434482128013,20.68781,20.492808861435343,3.586029661721101,1.0009393262629462
7.781971,20.68781,0.0,2.658428051196798,7.987610947630922,20.68781,20.662743431640607,0.9407861421644929,0.9839298274708069
7.947847,20.68781,0.0,2.602945174963735,8.158787413133831,20.68781,20.82945735200546,0.19135998634906673,0.9633666315982718
8.114237,20.68781,0.0,2.5495693556892656,8.329963878636741,20.68781,20.992372637991163,0.17707547653808506,0.9396105269965002
8.280261,20.68781,0.0,2.4984490223194658,8.501140344139651,20.97811078706794,21.150976895157665,0.8984619585881372,0.9130700191445156
8.447425,20.68781,0.0,2.4490078337481536,8.67231680964256,21.58728,21.30483329507888,3.427895010095637,0.8842241678641308
8.613857,21.58728,0.0,2.506110793341473,8.84349327514547,21.58728,21.453594750290087,3.4262569701546464,0.8536453610325182
8.78075,21.58728,0.0,2.458477920450987,9.014669740648378,21.58728,21.597020825478722,0.9032010981215751,0.822006928586225
8.94831,21.58728,0.0,2.412442125943335,9.185846206151288,21.58728,21.734994421949366,0.18007355503824493,0.7900738940299636
9.115349,21.58728,0.0,2.3682340632267618,9.357022671654198,21.58728,21.867535967648053,0.1812183417560685,0.7586846638494846
9.281085,21.58728,0.0,2.325943572330175,9.528199137157106,22.01961487032879,21.99481406131902,0.9007150310620212,0.7287276572759848
9.448333,21.58728,0.0,2.2847712924597388,9.699375602660016,22.48675,22.11715123644692,3.4364228808725685,0.7011054242072089
9.614494,22.48675,0.0,2.3388386325895048,9.870552068162926,22.48675,22.235021623449786,3.4335697028993515,0.6766740247991531
9.780946,22.48675,0.0,2.2990363099847397,10.041728533665834,22.48675,22.34903584112114,0.9205742546480424,0.6561555864644163
9.947467,22.48675,0.0,2.2605503491491854,10.212904999168744,22.48675,22.45990966215553,0.24806720309364055,0.6400405072550702
10.114402,22.48675,0.0,2.223240681950352,10.384081464671654,22.48675,22.568417064784548,0.07063932687117297,0.6285080680964125
10.279943,22.48675,0.0,2.1874391715985197,10.555257930174562,22.48675,22.675333238818116,0.035381848110438145,0.6213920781541088
10.446626,22.48675,0.0,2.152537096666426,10.726434395677472,22.48675,22.781376633670806,0.07088892354411705,0.6182048343582649
10.613351,22.48675,0.0,2.118722917954942,10.897610861180382,22.48675,22.88715992117361,0.24820065523047358,0.618215086499222
10.779999,22.48675,0.0,2.085969581258774,11.06878732668329,23.14669933191491,22.993157524163806,0.9217171794363033,0.6205587839111307
10.946963,22.48675,0.0,2.0541541978355093,11.2399637921862,23.38622,23.09969267216823,3.4416929644058545,0.6243506791403831
11.113002,23.38622,0.0,2.104401672923302,11.41114025768911,23.38622,23.20694148219766,3.4396374265569944,0.628767772253557
11.279805,23.38622,0.0,2.073282295216983,11.582316723192019,23.38622,23.31494794355097,0.9212898239866492,0.6330934093902724
11.44702,23.38622,0.0,2.042996343153065,11.753493188694929,23.38622,23.423643694844802,0.241577169325589,0.6367325329113089
11.612899,23.38622,0.0,2.013814121693472,11.924669654197839,23.38622,23.53286944857851,0.04851943046732775,0.6392194440435756
11.779439,23.38622,0.0,1.9853424258999093,12.095846119700747,23.38622,23.64239838109199,0.04807540837867496,0.6402348215138975
11.946033,23.38622,0.0,1.9576557339160205,12.267022585203657,23.38622,23.751963515439858,0.24086797279282499,0.6396343083479059
12.112563,23.38622,0.0,1.9307408349496307,12.438199050706567,24.242682349095816,23.861290106138373,0.915229884509486,0.6374747866790534
12.279484,23.38622,0.0,1.9044953354717513,12.609375516209475,24.28569,23.970130689294592,3.42378380803816,0.6340150662895947
12.446169,24.28569,0.0,1.9512582546484787,12.780551981712385,24.28569,24.078296707407976,3.417161288709047,0.6296735370076492
12.612472,24.28569,0.0,1.9255297454773337,12.951728447215295,24.28569,24.185679236987088,0.9173410955343987,0.6249458574659165
12.77937,24.28569,0.0,1.9003824132175529,13.122904912718203,24.28569,24.292253823204796,0.24654128899270514,0.6203070296259203
12.945596,24.28569,0.0,1.8759808354903087,13.294081378221113,24.28569,24.39806949576892,0.07053229974302144,0.6161296390367743
13.112248,24.28569,0.0,1.8521377875098153,13.465257843724023,24.28569,24.503226967459085,0.03531759685309624,0.6126420006932356
13.279141,24.28569,0.0,1.828860014363881,13.636434309226932,24.28569,24.60785376788104,0.07073823646712843,0.6099340405150093
13.445554,24.28569,0.0,1.8062245705903974,13.807610774729842,24.44074670258336,24.71208391052411,0.24733002608084914,0.6080013605313084
13.612154,24.28569,0.0,1.7841180756550359,13.97878724023275,25.18516,24.81604672680002,0.9190582331614728,0.6068032047494044
13.778927,24.28569,0.0,1.7625240339831976,14.14996370573566,25.18516,24.919864670744143,3.4305548036488323,0.6063044067366812
13.945319,25.18516,0.0,1.8059938248813097,14.32114017123857,25.18516,25.023655371529447,3.4275998096412894,0.6064812974279794
14.111845,25.18516,0.0,1.7846823005779895,14.492316636741478,25.18516,25.127531577351604,0.9189913768158027,0.6072936171662691
14.278738,25.18516,0.0,1.763822545101675,14.663493102244388,25.18516,25.231594825681643,0.24486240408485246,0.6086440541178454
14.44515,25.18516,0.0,1.7435028365922125,14.834669567747298,25.18516,25.335923041879685,0.061695422745905636,0.6103518181385045
14.612032,25.18516,0.0,1.7235905314195863,15.005846033250206,25.18516,25.440556129432384,0.0015762128864468792,0.612157198375453
14.778584,25.18516,0.0,1.704165974223241,15.177022498753116,25.321115968196732,25.545485194417687,0.05527480563522205,0.6137582532903945
14.944946,25.18516,0.0,1.685195784581624,15.348198964256026,25.678003577286507,25.650649885041663,0.22254752398472255,0.6148654085278754
15.111813,25.18516,0.0,1.6665875894573339,15.519375429758934,26.03489118637628,25.755944958719883,0.836098608744051,0.6152503181933953
15.543232,26.08463,0.0,1.678198588298753,15.690551895261844,26.08463,25.861233118181975,0.8346007510045818,0.614767411211687
15.709685,26.08463,0.0,1.6604171248500528,15.861728360764754,26.08463,25.96635854853356,0.22257050160714967,0.613340998917838
15.876322,26.08463,0.0,1.6429894782935242,16.03290482626766,26.08463,26.071156010888856,0.05525073994161,0.6109297086179399
16.042962,26.08463,0.0,1.625923566982207,16.20408129177057,26.08463,26.17545353183813,0.0015695594422334624,0.6074915292686894
16.209579,26.08463,0.0,1.6092108252780655,16.37525775727348,26.08463,26.279070766730708,0.061520918620572504,0.6029711375199068
16.376164,26.08463,0.0,1.592841278336001,16.54643422277639,26.08463,26.381817909965584,0.2444907854104863,0.597319314866586
16.542766,26.08463,0.0,1.5767997927311552,16.7176106882793,26.129595880069747,26.4835003412135,0.9164858453828627,0.5905380663663766
16.70928,26.08463,0.0,1.5610864142560303,16.888787153782207,26.984099999999998,26.583931747037045,3.420613552654056,0.5827297931626979
16.875922,26.984099999999998,0.0,1.5989704147720047,17.059963619285117,26.984099999999998,26.682953954258487,3.422333804441586,0.5741216501543465
17.042572,26.984099999999998,0.0,1.583334956718974,17.231140084788027,26.984099999999998,26.78045722953869,0.9168076619180047,0.5650447420763093
17.209177,26.984099999999998,0.0,1.5680064189007992,17.402316550290937,26.984099999999998,26.876393119909554,0.24532584011988548,0.5558704266560645
