Time,Height,Avg Wicking Rate,Time_Uniform,Height_Model,Wicking_Rate,Modeled Avg Wicking Rate
4.715794,0.0,0.0,4.739649115181621,-2.070909862290981e-29,-3.364868386201199e-30,-4.369331593888728e-30
4.761781,0.0,0.0,4.787045606333437,-2.0868161787581178e-29,-3.3471692501988714e-30,-4.359298720691492e-30
4.808093,0.0,0.0,4.834442097485253,-2.1026388181910338e-29,-3.329558949738675e-30,-4.349289485305388e-30
4.855691,0.0,0.0,4.881838588637069,-2.1183782008242894e-29,-3.312037140566345e-30,-4.339304060062557e-30
4.901777,0.0,0.0,4.929235079788885,-2.1340347452544672e-29,-3.2946034757915335e-30,-4.32934260734399e-30
4.950029,0.0,0.0,4.976631570940701,-2.1496088684281884e-29,-3.277257606100136e-30,-4.319405280029322e-30
4.995194,0.0,0.0,5.024028062092517,-2.1651009856310998e-29,-3.2599991799549425e-30,-4.309492221923082e-30
5.041239,0.0,0.0,5.071424553244334,-2.180511510477794e-29,-3.2428278437853054e-30,-4.299603568158889e-30
5.087793,0.0,0.0,5.11882104439615,-2.195840854902601e-29,-3.225743242166499e-30,-4.2897394455828975e-30
5.135138,0.0,0.0,5.166217535547967,-2.2110894291512038e-29,-3.208745017989405e-30,-4.2798999731177196e-30
5.181559,0.0,0.0,5.213614026699783,-2.2262576417730443e-29,-3.1918328126210696e-30,-4.27008526210803e-30
5.22762,0.0,0.0,5.261010517851599,-2.241345899614455e-29,-3.175006266056706e-30,-4.2602954166488485e-30
5.274502,0.0,0.0,5.308407009003415,-2.2563546078125106e-29,-3.158265017063616e-30,-4.250530533897611e-30
5.321034,0.0,0.0,5.355803500155231,-2.2712841697895306e-29,-3.1416087033175222e-30,-4.2407907043708766e-30
5.368276,0.0,0.0,5.403199991307047,-2.2861349872482117e-29,-3.1250369615317264e-30,-4.231076012226581e-30
5.415169,0.0,0.0,5.450596482458863,-2.300907460167364e-29,-3.108549427579525e-30,-4.2213865355326814e-30
5.462463,0.0,0.0,5.49799297361068,-2.3156019867982026e-29,-3.092145736610252e-30,-4.211722346522907e-30
5.508849,0.0,0.0,5.545389464762496,-2.3302189636611808e-29,-3.0758255231593064e-30,-4.202083511840375e-30
5.555137,0.0,0.0,5.592785955914312,-2.3447587855433326e-29,-3.0595884212525052e-30,-4.192470092769731e-30
5.601851,0.0,0.0,5.640182447066128,-2.3592218454960898e-29,-3.043434064505073e-30,-4.182882145458422e-30
5.649263,0.0,0.0,5.6875789382179445,-2.3736085348335627e-29,-3.0273620862155718e-30,-4.173319721127724e-30
5.696045,0.0,0.0,5.734975429369761,-2.387919243131253e-29,-3.011372119455017e-30,-4.16378286627406e-30
5.741683,0.0,0.0,5.782371920521577,-2.4021543582251739e-29,-2.995463797151492e-30,-4.154271622861119e-30
5.788837,0.0,0.0,5.829768411673393,-2.4163142662113706e-29,-2.9796367521704418e-30,-4.144786028503292e-30
5.835641,0.0,0.0,5.87716490282521,-2.4303993514458002e-29,-2.9638906173909256e-30,-4.135326116640838e-30
5.882763,0.0,0.0,5.924561393977026,-2.4444099965445697e-29,-2.9482250257780185e-30,-4.1258919167072584e-30
5.929038,0.0,0.0,5.971957885128842,-2.4583465823845135e-29,-2.9326396104515597e-30,-4.116483454289256e-30
5.975927,0.0,0.0,6.019354376280658,-2.4722094881040758e-29,-2.9171340047514594e-30,-4.107100751279653e-30
6.0223,0.0,0.0,6.066750867432474,-2.4859990911045088e-29,-2.901707842299717e-30,-4.097743826023657e-30
6.069801,0.0,0.0,6.11414735858429,-2.4997157670513427e-29,-2.886360757059345e-30,-4.088412693458771e-30
6.116943,0.0,0.0,6.161543849736106,-2.5133598898761438e-29,-2.8710923833903285e-30,-4.079107365248709e-30
6.16409,0.0,0.0,6.2089403408879225,-2.5269318317785173e-29,-2.855902356102797e-30,-4.069827849911581e-30
6.211081,0.0,0.0,6.256336832039739,-2.540431963228363e-29,-2.840790310507531e-30,-4.0605741529426446e-30
6.256734,0.0,0.0,6.303733323191556,-2.5538606529683657e-29,-2.8257558824639485e-30,-4.0513462769318986e-30
6.302951,0.0,0.0,6.351129814343372,-2.5672182680167017e-29,-2.8107987084256826e-30,-4.0421442216767546e-30
6.349669,0.0,0.0,6.398526305495188,-2.580505173669957e-29,-2.7959184254838853e-30,-4.032967984290016e-30
6.396734,0.0,0.0,6.445922796647004,-2.593721733506251e-29,-2.7811146714083582e-30,-4.023817559303433e-30
6.443616,0.0,0.0,6.49331928779882,-2.6068683093885455e-29,-2.7663870846866163e-30,-4.014692938766995e-30
