Time,Height,Time_Uniform,Height_Model,Wicking_Rate,Avg Wicking Rate,Modeled Avg Wicking Rate
132.77755,86.798855,132.892520448,85.57750625029993,0.1936022461025822,0.6537163473795081,0.6439602918343765
132.943608,86.798855,133.063773696,85.61065058887826,0.1934776183956823,0.6528997994397745,0.6433806002260688
133.110292,86.798855,133.235026944,85.64377360515707,0.1933532311399279,0.652082222162055,0.6428022387923109
133.277484,86.798855,133.406280192,85.67687534024812,0.1932290835616196,0.6512642075386118,0.6422252027186492
133.443601,86.798855,133.57753344,85.70995583513093,0.1931051748905664,0.6504534825914957,0.6416494872143294
133.610689,86.798855,133.748786688,85.74301513065345,0.1929815043600648,0.6496400523763484,0.6410750875121497
133.777141,86.798855,133.920039936,85.77605326753265,0.1928580712068782,0.6488317387497465,0.6405019988683156
133.943772,86.798855,134.091293184,85.80907028635501,0.1927348746712161,0.648024568100113,0.6399302165622928
134.110277,86.798855,134.262546432,85.84206622757726,0.1926119139967137,0.6472200113344035,0.6393597358966652
134.281597,86.798855,134.43379968,85.87504113152688,0.1924891884304116,0.6463942709886001,0.6387905521969911
134.44797,86.798855,134.605052928,85.90799503840267,0.1923666972227356,0.6455943886694608,0.6382226608116615
134.614021,86.798855,134.776306176,85.94092798827536,0.1922444396274769,0.6447980259054887,0.637656057111759
134.780392,86.798855,134.947559424,85.97384002108817,0.1921224149017721,0.6440020963880265,0.6370907364909186
134.946023,86.798855,135.118812672,86.00673117665741,0.1920006223060837,0.6432116565598973,0.6365266943651894
135.112343,86.798855,135.29006592,86.03960149467302,0.1918790611041801,0.6424198786930961,0.6359639261728953
135.543652,86.798855,135.461319168,86.07245101469911,0.191757730563117,0.6403756555120708,0.6354024273745003
135.708876,86.798855,135.632572416,86.1052797761746,0.1916366299532174,0.6395960054963539,0.6348421934524714
135.874688,86.798855,135.803825664,86.13808781841365,0.1915157585480529,0.6388154871052952,0.6342832199111447
136.041274,86.798855,135.975078912,86.1708751806064,0.1913951156244246,0.6380332412941091,0.6337255022765919
136.207909,86.798855,136.14633216,86.20364190181931,0.1912747004623445,0.637252679651664,0.6331690360964868
136.37495,86.798855,136.317585408,86.23638802099592,0.1911545123450166,0.6364721306955566,0.6326138169399749
136.541244,86.798855,136.48883865599998,86.26911357695718,0.1910345505588185,0.6356969693347748,0.6320598403975418
136.707846,87.698325,136.66009190399998,86.30181860840216,0.1909148143932827,0.6415017686695174,0.6315071020808829
136.874759,87.698325,136.831345152,86.33450315390856,0.190795303141079,0.6407194842987814,0.6309555976227764
137.041193,87.698325,137.0025984,86.36716725193313,0.1906760160979957,0.639941342308659,0.6304053226769538
137.207709,87.698325,137.173851648,86.39981094081234,0.1905569525629219,0.6391647061172051,0.6298562729179737
137.374221,87.698325,137.345104896,86.43243425876285,0.1904381118378297,0.638389971288718,0.6293084440410958
137.540913,87.698325,137.516358144,86.46503724388207,0.1903194932277565,0.6376162778561751,0.6287618317621556
137.7075,87.698325,137.687611392,86.49761993414859,0.190201096040787,0.6368449430858885,0.6282164318174402
137.874028,87.698325,137.85886464,86.53018236742284,0.1900829195880364,0.6360757444469526,0.6276722399635659
138.040595,87.698325,138.030117888,86.56272458144747,0.1899649631836324,0.6353082221936236,0.6271292519773543
138.207198,87.698325,138.201371136,86.59524661384796,0.1898472261446986,0.6345423846882418,0.6265874636557119
138.374187,87.698325,138.372624384,86.62774850213313,0.1897297077913368,0.6337766233813535,0.6260468708155099
138.540473,87.698325,138.543877632,86.66023028369557,0.1896124074466106,0.6330159201925057,0.6255074692934632
138.707151,87.698325,138.71513088,86.69269199581223,0.189495324436528,0.6322552540928477,0.6249692549460126
138.873661,87.698325,138.886384128,86.72513367564483,0.1893784580900254,0.6314971778557779,0.6244322236492059
139.040257,87.698325,139.057637376,86.75755536024047,0.1892618077389503,0.6307405271841522,0.623896371298582
139.206982,87.698325,139.228890624,86.78995708653211,0.189145372718045,0.6299851037644074,0.6233616938090537
139.373511,87.698325,139.400143872,86.82233889133894,0.1890291523649307,0.6292323725704233,0.622828187114792
139.540164,87.698325,139.57139712,86.85470081136701,0.1889131460200907,0.628480879526557,0.6222958471691123
139.706835,87.698325,139.742650368,86.88704288320966,0.1887973530268545,0.6277310984820462,0.6217646699443603
139.873327,87.698325,139.913903616,86.91936514334803,0.1886817727313817,0.6269839066600597,0.6212346514317987
140.040122,87.698325,140.085156864,86.95166762815151,0.1885664044826464,0.6262371365257736,0.6207057876414951
140.208411,87.698325,140.256410112,86.98395037387826,0.188451247632421,0.6254854781857558,0.6201780746022112
140.374954,87.698325,140.42766336,87.01621341667563,0.1883363015352607,0.6247433926140413,0.6196515083612912
140.541531,87.698325,140.598916608,87.04845679258072,0.1882215655484882,0.6240029148394577,0.6191260849845532
140.708128,87.698325,140.770169856,87.08068053752078,0.1881070390321776,0.6232641017013602,0.6186018005561792
140.874596,87.698325,140.941423104,87.11288468731368,0.18799272134914,0.6225276060419013,0.618078651178607
141.04122,87.698325,141.112676352,87.14506927766847,0.1878786118649074,0.6217921611852194,0.6175566329724237
141.2079,87.698325,141.2839296,87.1772343441857,0.1877647099477179,0.6210582056669633,0.6170357420762574
141.374532,87.698325,141.455182848,87.20937992235804,0.1876510149685008,0.6203261914246337,0.6165159746466728
141.540934,87.698325,141.626436096,87.2415060475706,0.1875375263008616,0.6195969075631506,0.6159973268580652
141.707862,88.597795,141.797689344,87.27361275510142,0.1874242433210671,0.6252143935387298,0.6154797949025557
141.874559,88.597795,141.968942592,87.30570008012205,0.1873111654080309,0.6244797913345408,0.6149633749898885
142.041008,88.597795,142.14019584,87.33776805769782,0.1871982919432984,0.623748002407868,0.6144480633473273
142.207684,88.597795,142.311449088,87.36981672278839,0.1870856223110329,0.6230169320527013,0.6139338562195528
142.374022,88.597795,142.482702336,87.40184611024819,0.1869731558980007,0.6222890507370791,0.6134207498685618
142.54056,88.597795,142.653955584,87.43385625482686,0.1868608920935568,0.6215619961083358,0.612908740573566
142.707819,88.597795,142.825208832,87.46584719116967,0.1867488302896311,0.6208335017718967,0.6123978246308921
142.874494,88.597795,142.99646208,87.49781895381797,0.1866369698807141,0.6201092477709843,0.611887998353882
143.041146,88.597795,143.167715328,87.52977157720966,0.1865253102638426,0.6193867811993061,0.6113792580727943
143.207332,88.597795,143.33896857599998,87.56170509567957,0.1864138508385861,0.6186680092608666,0.6108716001347069
143.373845,88.597795,143.51022182399998,87.59361954345994,0.1863025910070331,0.617949494205167,0.6103650209034183
143.540934,88.597795,143.68147507199998,87.6255149546808,0.1861915301737772,0.6172301693397091,0.609859516759352
143.706869,88.597795,143.85272832,87.6573913633705,0.1860806677459031,0.6165174679298037,0.6093550840994608
143.873621,88.597795,144.023981568,87.68924880345594,0.1859700031329738,0.615802913586223,0.6088517193371301
144.040243,88.597795,144.195234816,87.72108730876326,0.1858595357470169,0.6150905688211037,0.6083494189020847
144.206666,88.597795,144.366488064,87.75290691301801,0.1857492650025109,0.6143807180175707,0.6078481792402938
144.375429,88.597795,144.537741312,87.78470764984571,0.1856391903163722,0.6136625574979244,0.6073479968138781
144.539957,88.597795,144.70899456,87.81648955277225,0.1855293111079421,0.612964033191182,0.6068488681010171
144.70688,88.597795,144.880247808,87.8482526552243,0.1854196267989734,0.6122569638706881,0.6063507895958574
144.873475,88.597795,145.051501056,87.87999699052966,0.1853101368136176,0.611552908494809,0.6058537578084204
145.039906,88.597795,145.222754304,87.91172259191772,0.1852008405784121,0.6108511611969744,0.6053577692645118
145.47132,88.597795,145.394007552,87.94342949251993,0.1850917375222671,0.6090396031327688,0.6048628205056323
145.637801,88.597795,145.5652608,87.97511772537007,0.184982827076453,0.6083433998018138,0.604368908088887
145.804319,88.597795,145.736514048,88.00678732340478,0.1848741086745879,0.6076486321368848,0.603876028586897
145.971277,88.597795,145.907767296,88.03843831946384,0.1847655817526247,0.6069536200604727,0.603384178587711
